company,product name ,category,ingredients,link,total number of reviews,product rate 
ULTA Beauty Collection,Detoxifying Charcoal Deep Cleansing Clay Mask,"Home
Skin Care
Treatment & Serums
Sheet Masks","Aqua (Water), Bentonite, Stearic Acid, Kaolin, Glycerin, Polysorbate 20, Charcoal Powder, Talc, Silt, Glyceryl Stearate, Phenoxyethanol, Cera Alba (Beeswax), Cetearyl Alcohol, Menthol, Sodium Benzoate, Ethylhexylglycerin, Tetrasodium Pyrophosphate, Titanium Dioxide.",https://www.ulta.com/p/detoxifying-charcoal-deep-cleansing-clay-mask-xlsImpprod15622823?sku=2310437,0,2.9
L'Oréal,Telescopic Carbon Black Mascara,"Home
Makeup
Eyes
Mascara","Aqua / Water / Eau, Paraffin, Cera Alba / Beeswax / Cire D'Abeille, Stearic Acid, Cera Carnauba / Carnauba Wax / Cire De Carnauba, Acacia Senegal / Acacia Senegal Gum, Palmitic Acid, Triethanolamine, Hydroxyethylcellulose, Aminomethyl, Propanediol.",https://www.ulta.com/p/telescopic-carbon-black-mascara-xlsImpprod560124?sku=2151451,0,4.2
J.Cat Beauty,Shimmie Struck Shadow Sticks,"Home
Makeup
Eyes
Eyeshadow","Black Out: Dimethicone, Polyisobutene, Octyldodecanol, Polyethylene, Isononyl Isononanoate, Polybutene, Microcrystalline Wax, Isododecane, Ozokerite, Hydrogenated Vegetable Oil, Beeswax, Hydrogenated Palm Acid, Stearyl Stearate, Paraffin, Glycol Montanate, Copernicia Cerifera (Carnauba) Wax, Phenoxyethanol, Caprylylglycol, Disteardimonium Hectorite, Lecithin, Polyhydroxystearic Acid, Isopropyl Myristate, Ethylhexyl Palmitate, Isostearic Acid, Polyglyceryl-3 Polyricinoleate. May Contain: Mica, Ultramarine Blue (CI 77007), FD&C Blue No. 1 Aluminum Lake (CI 42090), Red 7 Lake (CI 15850), Iron Oxides Red (CI 77491), Iron Oxides Black (CI 77499),Iron Oxides Yellow (CI77492),Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Tin Oxide (CI 77861), Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate, Carbon Black (CI 77266), Ferric Ferrocyanide (CI 77510).",https://www.ulta.com/p/shimmie-struck-shadow-sticks-pimprod2038614?sku=2610128,0,4
Keys Soulcare,Comforting Tinted Lip Balm,"Home
Skin Care
Moisturizers
Lip Care","Ricinus Communis (Castor) Seed Oil, Camellia Oleifera Seed Oil, Beeswax, Persea Gratissima (Avocado) Oil, Synthetic Wax, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea Butter), Euphorbia Cerifera (Candelilla) Wax, Silica Dimethyl Silylate, Fragrance (Parfum), Anastatica Hierochuntica Extract, Mica, Caprylic/Capric Triglyceride, Polyhydroxystearic acid, Isostearic acid, Lecithin, Polyglyceryl-3 Polyricinoleate, Butylene Glycol, Caprylyl Glycol, Phenoxyethanol, PEG-8, Tocopherol, Ascorbyl Palmitate, Ascorbic acid, Water (Aqua), Citric Acid.
May Contain: Red Iron Oxide (CI 77491), Yellow Iron Oxide (CI 77492), Black Iron Oxide (CI 77499), Red 6 Lake (CI 15850).",https://www.ulta.com/p/comforting-tinted-lip-balm-pimprod2032656?sku=2597838,0,4.7
Keys Soulcare,Sheer Flush Cheek Tint,"Home
Skin Care
Moisturizers
Face Moisturizer","Helianthus Annuus (Sunflower) Seed Oil, Ricinus Communis (Castor) Seed Oil, Mica, Carthamus Tinctorius (safflower) Seed Oil, Copernicia Cerifera (Carnauba) Wax, Synthetic Beeswax, Castor isostearate succinate, Tocopherol, Polyhydroxystearic acid, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Rubiginosa Seed Oil, Crambe Abyssinica Seed Oil, Calendula Officinalis Flower Extract, Isostearic acid, Camellia Sinensis Seed Oil, Lecithin, Polyglyceryl-3 Polyricinoleate, Butylene Glycol, Water (Aqua), Anastatica Hierochuntica Extract, Fragrance.
May Contain: Red Iron Oxide (CI 77491), Red 7 Lake (CI 15850), Titanium Dioxide (CI 77891), Black Iron Oxide (CI 77499).",https://www.ulta.com/p/sheer-flush-cheek-tint-pimprod2032657?sku=2597841,0,4.8
Lime Crime,Electric Slide Eyeshadow & Brush Stick,"Home
Makeup
Eyes
Eyeshadow","Whatever: Isododecane, Dimethicone, Trisiloxane, Trimethylsiloxysilicate, Synthetic Beeswax, Polyethylene, Hydrogenated Microcrystalline Cera/Wax/Cire, VP/Hexadecene Copolymer, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Lecithin, Caprylic/Capric Triglyceride, Disteardimonium Hectorite, Polyglyceryl-3 Polyricinoleate, Dimethicone Crosspolymer, Polyhydroxystearic Acid, Propylene Carbonate, Triethoxycaprylylsilane, Isostearic Acid, CI 77891 (Titanium Dioxide), CI 77742 (Manganese Violet), CI 77007 (Ultramarines), CI 16035 (Red 40 Lake).",https://www.ulta.com/p/electric-slide-eyeshadow-brush-stick-pimprod2034372?sku=2599566,0,5
Stila,"Trifecta Metallica Lip, Eye & Cheek Stick","Home
Makeup
Lips
Lipstick","Mica, Capryloyl Glycerin/Sebacic Acid Copolymer, Diheptyl Succinate, Synthetic Beeswax, Isopropyl Myristate, Isododecane, Acrylates Copolymer, Ozokerite, Ethylhexyl Methoxycinnamate, Phenoxyethanol, Tocopherol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Bht. Iron Oxides (CI 77491).",https://www.ulta.com/p/trifecta-metallica-lip-eye-cheek-stick-pimprod2016439?sku=2575756,0,3.7
SUNDAY RILEY,C.E.O. Vitamin C Rich Hydration Moisturizing Cream,"Home
Skin Care
Moisturizers
Face Moisturizer","Water/Eau/Aqua, Squalane, Dicaprylyl Carbonate, Tetrahexyldecyl Ascorbate, C10-18 Triglycerides, PEG-8 Beeswax, Polyglyceryl-6 Distearate, Tapioca Starch, Hydrogenated Vegetable Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Citric Acid, PPG-12 SMDI Copolymer, Glycerin, Citrus Tangerina (Tangerine) Peel Oil, Sodium Acrylates Copolymer, Bisabolol, Jojoba Esters, Tocopherol, Caprylic/Capric Triglyceride, Limonene, Phenoxyethanol, Lecithin, Nylon-12, Rosa Centifolia Flower Wax, Rosa Damascena Flower Wax, Sodium Phytate, Cetyl Alcohol, Polyglyceryl-3 Beeswax, Butylene Glycol, Caprylyl Glycol, Alcohol Denat, Chlorphenesin, Microcitrus Australasica (Lime Pearl) Fruit Extract, Polymethylsilsesquioxane, Terminalia Ferdinandiana Fruit (Kakadu Plum) Extract, Butyrospermum Parkii (Shea) Butter Extract, Camellia Sinensis (Green Tea) Leaf Extract, Citrus Junos (Yuzu) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Euterpe Oleracea (Acai) Fruit Extract, Lippia Citriodora (Lemon Verbena) Flower Extract, Oenothera Biennis (Evening Primrose) Seed Extract, Rosa Canina (Rosehips) Fruit Extract, Alteromonas Ferment Extract, Benzyl Alcohol, Sodium Hyaluronate, Linalool, Dehydroacetic Acid.",https://www.ulta.com/p/ceo-vitamin-c-rich-hydration-moisturizing-cream-pimprod2007850?sku=2550166,0,4.4
Treslúce Beauty,Draw the Línea Dual-Sided Lip Liner,"Home
Makeup
Lips
Lip Liner","Light: Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Palm Oil, Synthetic Beeswax, C10-18 Triglycerides, Euphorbia Cerifera (Candelilla) Wax (Cire de candelilla), Ricinus Communis (Castor) Seed Oil, Ethylhexyl Palmitate, Octyldodecanol, Tocopheryl Acetate, Agave Tequilana Leaf Extract, Opuntia Ficus-Indica Extract, Maltose, Polyquaternium-80, Water (Aqua) (Eau), Propylene Glycol, Propylene Carbonate, Propanediol, 1,2-Hexanediol, Caprylhydroxamic Acid, Disteardimonium Hectorite, Maltol, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499), Red 7 (CI 15850).
Deep: Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Palm Oil, Synthetic Beeswax, C10-18 Triglycerides, Euphorbia Cerifera (Candelilla) Wax (Cire de candelilla), Ricinus Communis (Castor) Seed Oil, Ethylhexyl Palmitate, Octyldodecanol, Tocopheryl Acetate, Agave Tequilana Leaf Extract, Opuntia Ficus-Indica Extract, Maltose, Polyquaternium-80, Water (Aqua) (Eau), Propylene Glycol, Propylene Carbonate, Propanediol, 1,2-Hexanediol, Caprylhydroxamic Acid, Disteardimonium Hectorite, Maltol, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499), Red 7 (CI 15850).",https://www.ulta.com/p/draw-linea-dual-sided-lip-liner-pimprod2037459?sku=2605641,0,4.8
L.A. Girl,Gel Glide Eyeliner,"Home
Makeup
Eyes
Eyeliner","Metallic Copper: Isododecane, Synthetic Wax, Hydrogenated Polydicyclopentadiene, Calcium Sodium Borosilicate, Polybutene, PEG / PPG-18 / 18 Dimethicone, Glyceryl Tribehenate / Isostearate / Eicosandioate, Polyethylene, Nylon-12, Perfluorononyl Dimethicone, Polyglyceryl-4 Diisostearate / Polyhydroxystearate / Sebacate, Synthetic Beeswax, Copernicia Cerifera (Carnauba) Wax , Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain: Mica (CI 77019), Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).",https://www.ulta.com/p/gel-glide-eyeliner-xlsImpprod15711011?sku=2517662,0,4.2
