company,product name ,category,ingredients,link,total number of reviews,product rate 
Urban Decay Cosmetics,Naked2 Basics Eyeshadow Palette,"Home
Gifts
By Category
Makeup Gifts","Skimp: Talc, Mica, Caprylic/Capric Triglyceride, Kaolin, Silica, Boron Nitride, PTFE, Dimethicone, Zinc Stearate, Methicone, Glyceryl Caprylate, Sodium Dehydroacetate.
Stark: Kaolin, Talc, Mica, Silica, Caprylic/Capric Triglyceride, PTFE, Boron Nitride, Dimethicone, Methicone, Glyceryl Caprylate, Zinc Stearate, Sodium Dehydroacetate.
Frisk: Mica, Kaolin, Talc, Boron Nitride, Caprylic/Capric Triglyceride, Silica, PTFE, Zinc Stearate, Dimethicone, Methicone, Glyceryl Caprylate, Sodium Dehydroacetate.
Cover/Primal: Talc, Kaolin, Mica, Boron Nitride, Caprylic/Capric Triglyceride, Silica, PTFE, Zinc Stearate, Dimethicone, Methicone, Glyceryl Caprylate, Sodium Dehydroacetate.
Undone: Talc, Boron Nitride, Mica, Kaolin, Silica, PTFE, Caprylic/Capric Triglyceride, Zinc Stearate, Dimethicone, Methicone, Glyceryl Caprylate, Sodium Dehydroacetate.
All Shades May Contain: CI 77891 (Titanium Dioxide), CI 77491/77492/77499 (Iron Oxides), CI 75470 (Carmine), CI 77007 (Ultramarines).",https://www.ulta.com/p/naked2-basics-eyeshadow-palette-xlsImpprod11151037?sku=2278485,0,4.6
NARS,Mini Blush,"Home
Makeup
Travel Size","Talc, Cetearyl Isononanoate, Zinc Stearate, Cetyl Acetate, Stearoxy Dimethicone, Isopropyl Lanolate, Silica, Propylparaben, Triclosan, Methylparaben, Acetylated Lanolin Alcohol, BHA. May Contain): Mica, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides), CI 77742 (Manganese Violet), CI 45410 (Red 28 Lake), CI 73360 (Red 30 Lake), CI 17200 (Red 33 Lake), CI 15880 (Red 34 Lake).",https://www.ulta.com/p/mini-blush-pimprod2018367?sku=2568814,0,4.6
ColourPop,California Love Eyeshadow Palette,"Home
Gifts
By Category
Makeup Gifts","Diego: Dimethicone, Synthetic Fluorphlogopite, Magnesium Myristate, Lauroyl Lysine, Calcium Sodium Borosilicate, Boron Nitride, Silica, Dimethiconol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Tin Oxide. May Contain: Carmine (CI 75470), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Titanium Dioxide (CI 77891).
Gnarly: Synthetic Fluorphlogopite, Talc, Boron Nitride, Zinc Stearate, Lauroyl Lysine, Magnesium Stearate, Dimethicone, Caprylic/Capric Triglyceride, Silica, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol. May Contain: Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).
Sequoia: Synthetic Fluorphlogopite, Talc, Boron Nitride, Zinc Stearate, Lauroyl Lysine, Magnesium Stearate, Dimethicone, Caprylic/Capric Triglyceride, Silica, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol. May Contain: Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).
Gold Rush: Talc, Calcium Sodium Borosilicate, Boron Nitride, Synthetic Fluorphlogopite, Zinc Stearate, Lauroyl Lysine, Magnesium Stearate, Dimethicone, Caprylic/Capric Triglyceride, Phenoxyethanol, Silica, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol, Tin Oxide, Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Titanium Dioxide (CI 77891).
Hwy 1: Synthetic Fluorphlogopite, Talc, Boron Nitride, Zinc Stearate, Lauroyl Lysine, Magnesium Stearate, Dimethicone, Caprylic/Capric Triglyceride, Silica, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol. May Contain: Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).
Laguna: Synthetic Fluorphlogopite, Talc, Boron Nitride, Zinc Stearate, Lauroyl Lysine, Magnesium Stearate, Dimethicone, Caprylic/Capric Triglyceride, Silica, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol. May Contain: Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).
El Capitan: *Not Intended For Use In The Immediate Eye Area. Polyethylene Terphthalate, Dimethicone, Polybutylene Terephthalate, Polymethyl Methacrylate, Polyurethane 33, Lauroyl Lysine, Magnesium Myristate, Chlorphenesin, Dehydroacetic Acid, Aluminum, Black 2 (CI 77266), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 (CI 15850), Yellow 5 (CI 19140).
Surfrider: Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Octyldodecyl Stearoyl Stearate, Magnesium Myristate, Cetearyl Ethylhexanoate, Lauroyl Lysine, Talc, Jojoba Esters, Phenoxyethanol, Helianthus Annuus (Sunflower) Seed Oil, Tin Oxide, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Dimethicone, Acacia Decurrens Extract, Polyglycerin-3, Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891).
Cahuenga: Dimethicone, Synthetic Fluorphlogopite, Magnesium Myristate, Lauroyl Lysine, Calcium Sodium Borosilicate, Boron Nitride, Silica, Dimethiconol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Tin Oxide. May Contain: Carmine (CI 75470), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Titanium Dioxide (CI 77891).
Mission: Aluminum Calcium Sodium Silicate, Boron Nitride, Aluminum Starch Octenylsuccinate, Zinc Stearate, Dimethicone, Phenoxyethanol, Lauroyl Lysine, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol, Tin Oxide, Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891).
Cruisin': Dimethicone, Synthetic Fluorphlogopite, Magnesium Myristate, Lauroyl Lysine, Calcium Sodium Borosilicate, Boron Nitride, Silica, Dimethiconol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Tin Oxide. May Contain: Carmine (CI 75470), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Titanium Dioxide (CI 77891).
The Bay: Synthetic Fluorphlogopite, Talc, Boron Nitride, Zinc Stearate, Lauroyl Lysine, Magnesium Stearate, Dimethicone, Caprylic/Capric Triglyceride, Silica, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol. May Contain: Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).",https://www.ulta.com/p/california-love-eyeshadow-palette-pimprod2009524?sku=2552595,0,4.7
Maybelline,Express Brow Ultra Slim Pencil,"Home
Makeup
Eyes
Eyebrows","Hydrogenated Soybean Oil, Synthetic Japan Wax, Stearic Acid, Synthetic Fluorphlogopite, Hydrogenated Coco-Glycerides, Zinc Stearate, Polyglyceryl-2 Triisostearate, Myristyl Myristate, Polyhydroxystearic Acid, Tocopherol. May Contain: CI 77491, CI 77492, CI 77499/Iron Oxides, CI 77891/Titanium Dioxide.",https://www.ulta.com/p/express-brow-ultra-slim-pencil-pimprod2006660?sku=2545919,0,4.5
Persona,Super Blush,"Home
Makeup
Face
Blush","Mica (CI 77019), Zinc Stearate, Boron Nitride, Bismuth Oxychloride, Triethylhexanoin, Dimethicone, Propanediol, Lauroyl Lysine, Ethylhexyl Glycerin, Potassium, Sorbate, Caesalpinia Sappan Bark Extract, Triethoxycaprylylsilane, May Contain: Iron Oxides (CI 77499, CI 77491, CI 77492), FD&C Red No.40 Lake (CI 16035), Titanium Dioxide (CI 77891), D&C Red No. 6 Barium Lake (CI 15850:2), FD&C Yellow No 5, Lake (CI 19140), FD&C Red 7 Calcium Lake (CI 15850:1), Tin Oxide (CI 77861), Ultramarines (CI 77007).",https://www.ulta.com/p/super-blush-pimprod2015177?sku=2565793,0,4.7
Too Faced,Chocolate Soleil Matte Bronzer,"Home
Makeup
Face
Bronzer","Chocolate: Talc, Mica, Titanium Dioxide, Octyldodecyl Stearoyl Stearate, Ethylhexyl Palmitate, Boron Nitride, Zinc Stearate, Sodium Saccharin, Fragrance/Parfum, Silica, Sodium Dehydroacetate, Phenoxyethanol, Benzyl Benzoate, Tocopherol, Ascorbyl Palmitate, Theobroma Cacao (Cocoa) Fruit Powder/Theobroma Cacao Fruit Powder, Benzyl Alcohol, Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742).",https://www.ulta.com/p/chocolate-soleil-matte-bronzer-xlsImpprod18031041?sku=2526209,0,4.6
KIKO Milano,Bright Quartet Baked Eyeshadow Palette,"Home
Makeup
Eyes
Eyeshadow Palettes","01 - 03 - 04 Ingredients: Aluminum Starch Octenylsuccinate, Mica, Octyldodecyl Stearoyl Stearate, C12-13 Alkyl Lactate, Hydrogenated Polydecene, Zinc Stearate, Hdi/Trimethylol Hexyllactone Crosspolymer, Polymethyl Methacrylate, 1,2-Hexanediol, Caprylyl Glycol, Magnesium Aluminum Silicate, Ethylhexylglycerin, Polysorbate 20, Sorbic Acid, Silica, Sodium Dehydroacetate, Alumina, Tin Oxide, Tocopherol. +/- (May Contain): CI 77891 (Titanium Dioxide), CI 77499 - CI 77491 - CI 77492 (Iron Oxides), CI 77007 (Ultramarines).
02 Ingredients: Aluminum Starch Octenylsuccinate, Kaolin, Mica, Zinc Stearate, Hdi/Trimethylol Hexyllactone Crosspolymer, Polymethyl Methacrylate, Octyldodecanol, Silica, 1,2-Hexanediol, Caprylyl Glycol, Ethylhexylglycerin, Magnesium Aluminum Silicate, Dimethicone, Sorbic Acid, Sodium Dehydroacetate, Trimethylsiloxysilicate, Polyacrylamide, C13-14 Isoparaffin, Laureth-7, Tin Oxide, Tocopherol, CI 77891 (Titanium Dioxide), CI 77499 - CI 77491 - CI 77492 (Iron Oxides), CI 77163 (Bismuth Oxychloride).",https://www.ulta.com/p/bright-quartet-baked-eyeshadow-palette-pimprod2020353?sku=2575984,0,3.5
BLK/OPL,True Melanin High Impact Eyeshadow Palette,"Home
Makeup
Eyes
Eyeshadow Palettes","BEAUTIFUL, GORGEOUS Mica, Triethylhexanoin, Isononyl Isononanoate, Octyldodecyl Stearoyl Stearate, Zinc Stearate, Magnesium Myristate, Tapioca Starch, Diisostearyl Malate, Synthetic Fluorphlogopite, Isododecane, Silica, Ethylhexylglycerin, Dehydroacetic Acid, Aqua/Water/Eau, Polymethylsilsesquioxane, Stearic Acid, Palmitic Acid, Lauric Acid, Maltodextrin, Calcium Sodium Borosilicate, Tin Oxide. GILDED Mica, Synthetic Fluorphlogopite, Triethylhexanoin, Isononyl Isononanoate, Calcium Sodium Borosilicate, Octyldodecyl Stearoyl Stearate, Zinc Stearate, Magnesium Myristate, Tapioca Starch, Diisostearyl Malate, Isododecane, Ethylhexylglycerin, Silica, Dehydroacetic Acid, Aqua/Water/Eau, Tin Oxide, Polymethylsilsesquioxane, Stearic Acid, Palmitic Acid, Lauric Acid, Maltodextrin. CHARMING, LOVE Mica, Synthetic Fluorphlogopite, Triethylhexanoin, Isononyl Isononanoate, Octyldodecyl Stearoyl Stearate, Zinc Stearate, Magnesium Myristate, Tapioca Starch, Diisostearyl Malate, Isododecane, Silica, Ethylhexylglycerin, Dehydroacetic Acid, Aqua/Water/Eau, Polymethylsilsesquioxane, Stearic Acid, Palmitic Acid, Tin Oxide, Lauric Acid, Maltodextrin, Calcium Sodium Borosilicate. AU NATURAL, POISED, REVERENCE Mica, Tapioca Starch, Triethylhexanoin, Silica, Octyldodecyl Stearoyl Stearate, Isononyl Isononanoate, Zinc Stearate, Magnesium Myristate, Isododecane, Aqua/Water/Eau, Ethylhexylglycerin, Dehydroacetic Acid, Diisostearyl Malate, Polymethylsilsesquioxane, Stearic Acid, Palmitic Acid, Lauric Acid, Maltodextrin, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Tin Oxide. REGAL Mica, Isostearyl Neopentanoate, Isocetyl Stearate, Silica, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Isododecane, Ethylhexylglycerin, Sorbic Acid, Tocopherol, Tin Oxide, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Calcium Aluminum Borosilicate. ALLURE Mica, Isostearyl Neopentanoate, Isocetyl Stearate, Synthetic Fluorphlogopite, Silica, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Isododecane, Ethylhexylglycerin, Sorbic Acid, Tocopherol, Tin Oxide, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate. STUNNING Synthetic Fluorphlogopite, Isostearyl Neopentanoate, Mica, Isocetyl Stearate, Calcium Sodium Borosilicate, Silica, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Isododecane, Ethylhexylglycerin, Sorbic Acid, Tin Oxide, Tocopherol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Calcium Aluminum Borosilicate. ELEGANT Mica, Isostearyl Neopentanoate, Isocetyl Stearate, Silica, Calcium Aluminum Borosilicate, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Isododecane, Ethylhexylglycerin, Sorbic Acid, Tocopherol, Tin Oxide, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite. May Contain/Peut Contenir (±) CI 77891 (Titanium Dioxide), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 19140 (Yellow 5 Lake), CI 77742 (Manganese Violet), CI 16035 (Red 40 Lake), CI 75470 (Carmine), CI 77007 (Ultramarines).",https://www.ulta.com/p/true-melanin-high-impact-eyeshadow-palette-pimprod2022631?sku=2578454,0,3
ColourPop,Nude Mood Eyeshadow Palette,"Home
Gifts
By Price
$25 and Under","Bare To Wear, Au Naturale: Synthetic Fluorphlogopite, Talc, Boron Nitride, Zinc Stearate, Lauroyl Lysine, Magnesium Stearate, Dimethicone, Caprylic/Capric Triglyceride, Silica, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140). Bluffin': Zinc Stearate, Synthetic Fluorphlogopite, Polymethylsilsesquioxane, Magnesium Stearate, Boron Nitride, Dimethicone, Caprylic/Capric Triglyceride, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Dimethiconol, Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Titanium Dioxide (CI 77891). Moody, The Cocoa, Muffed Off: Boron Nitride. Aluminum Starch Octenylsuccinate, Calcium Sodium Borosilicate, Dimethicone, Zinc Stearate, Lauroyl Lysine, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol, Tin Oxide. May Contain: Blue 1 Lake (CI 42090), Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891). Put On Heirs, Lap Of Lux: Dimethicone, Calcium Sodium Borosilicate, Magnesium Myristate, Lauroyl Lysine, Boron Nitride, Synthetic Fluorphlogopite, Dimethiconol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Tin Oxide, Silica. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891). Wink Wink: Dimethicone, Synthetic Fluorphlogopite, Ethylhexyl Isononanoate, Trimethylsiloxysilicate, Alumina, Dimethicone Crosspolymer, Boron Nitride, Isopropyl Myristate, Cetyl Dimethicone, Phenoxyethanol, Stearalkonium Hectorite, Tin Oxide, Ethylhexylglycerin, Propylene Carbonate, Carmine (CI 75470), Iron Oxides (CI 77491), Mica (CI 77019), Titanium Dioxide (CI 77891).",https://www.ulta.com/p/nude-mood-eyeshadow-palette-pimprod2013765?sku=2561411,0,4.6
ColourPop,Sage the Day Pressed Powder Palette,"Home
Makeup
Eyes
Eyeshadow Palettes","Sips Tea, Keep Calm: Synthetic Fluorphlogopite, Talc, Boron Nitride, Zinc Stearate, Lauroyl Lysine, Magnesium Stearate, Dimethicone, Caprylic/Capric Triglyceride, Silica, Phenoxyethanol, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol. May Contain: Blue 1 Lake (Ci 42090), Chromium Oxide Greens (Ci 77288), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Mica (Ci 77019), Red 40 Lake (Ci 16035), Titanium Dioxide (Ci 77891).
Smudge Me, Intuition: Boron Nitride, Aluminum Starch Octenylsuccinate, Zinc Stearate, Dimethicone, Phenoxyethanol, Lauroyl Lysine, Caprylyl Glycol, Dimethiconol, Ethylhexylglycerin, Hexylene Glycol, Triethoxycaprylylsilane. May Contain: Blue 1 Lake (Ci 42090), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Mica (Ci 77019), Red 40 Lake (Ci 16035), Titanium Dioxide (Ci 77891), Yellow 5 Lake (Ci 19140).
Manifest: Boron Nitride, Calcium Sodium Borosilicate, Aluminum Starch Octenylsuccinate, Zinc Stearate, Dimethicone, Phenoxyethanol, Lauroyl Lysine, Caprylyl Glycol, Dimethiconol, Triethoxycaprylylsilane, Ethylhexylglycerin, Hexylene Glycol, Tin Oxide. May Contain: Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Mica (Ci 77019), Red 40 Lake (Ci 16035), Titanium Dioxide (Ci 77891).
Nature Bae, Retreat Me, Tree Of Life, Lit Vibes: Dimethicone, Magnesium Myristate, Calcium Sodium Borosilicate, Lauroyl Lysine, Boron Nitride, Calcium Aluminum Borosilicate, Silica, Tin Oxide, Dimethiconol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. May Contain: Aluminum Powder (Ci 77000), Chromium Oxide Greens (Ci 77288), Ferric Ferrocyanide (Ci 77510), Iron Oxides (Ci 77491, Ci 77499), Manganese Violet (Ci 77742), Mica (Ci 77019), Red 40 Lake (Ci 16035), Titanium Dioxide (Ci 77891), Yellow 5 Lake (Ci 19140).",https://www.ulta.com/p/sage-day-pressed-powder-palette-pimprod2037008?sku=2605480,0,4.8
