company,product name ,category,ingredients,link,total number of reviews,product rate 
PÜR,Skin Perfecting Powder Blushing Act,"Home
Makeup
Face
Blush","Mica, Synthetic Fluorphlogopite, Lauroyl Lysine, Magnesium Myristate, Boron Nitride, Ethylene/Acrylic ACId Copolymer, Oryza Sativa (Rice) Extract, Caprylic/Capric Triglyceride, Camellia Sinensis (Green Tea) Leaf Powder, Cucumis Sativus (Cucumber) Fruit Extract Water, Zinc Gluconate, Caffeine, Ceramide Ap, Retinol, Lactic ACId, Butyrospermum Parkii (Shea) Butter, Sodium Starch OctenylsucCInate, Biotin, Sodium Dehydroacetate, Phenoxyethanol, Sorbic ACId, Vanillin, Alumina, NiaCInamide, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Yeast Extract,Aqua, Poloxamer 338, Panthenol, Silica, Ammonium Glycyrrhizate, Manganese Violet (CI 77742), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 (CI 15850), Ultramarines (CI 77007), Titanium Dioxide CI 77891.",https://www.ulta.com/p/skin-perfecting-powder-blushing-act-pimprod2012166?sku=2560673,0,3.8
ICONIC LONDON,Silk Glow Duo,"Home
Makeup
Makeup Palettes","Blusher: Synthetic Fluorphlogopite, Mica, Cetearyl Ethylhexanoate, Silica, Glycerin, Dicalcium Phosphate, PEG-12 Dimethicone, Aqua (Water), Polysorbate 20, Caprylyl Glycol, Ethylhexylglycerin, 1,2-Hexanediol, Gellan Gum, Cocos Nucifera (Coconut) Oil (Cocos Nucifera Oil), Hydrolyzed Rice Protein, Calcium Chloride, Dimethicone, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Zinc Stearate, Lauroyl Lysine, Leuconostoc/ Radish Root Ferment Filtrate, Sodium Hydroxide. May Contain: CI 77891 (Titanium Dioxide), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77007 (Ultramarines), CI 73360 (Red 30 Lake).
Highlighter: Mica, Cetearyl Ethylhexanoate, Glycerin, Silica, PEG-12 Dimethicone, Aqua (Water), Polysorbate 20, Caprylyl Glycol, Ethylhexylglycerin, 1,2- Hexanediol, Gellan Gum, Cocos Nucifera (Coconut) Oil (Cocos Nucifera Oil), Hydrolyzed Rice Protein, Calcium Chloride, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tin Oxide, Dicalcium Phosphate, Synthetic Fluorphlogopite, Leuconostoc/ Radish Root Ferment Filtrate, Sodium Hydroxide, CI 77891 (Titanium Dioxide), CI 77491, CI 77492 (Iron Oxides).",https://www.ulta.com/p/silk-glow-duo-pimprod2031614?sku=2594948,0,5
Sally Hansen,Good. Kind. Pure. Geode to Joy Nail Polish Collection,"Home
Nails
Nail Polish","Butyl Acetate, Ethyl Acetate, Nitrocellulose, Adipic Acid/Neopentyl Glycol/Trimellitic Anhydride Copolymer, Acetyl Tributyl Citrate, Alcohol, Calcium Aluminum Borosilicate, Isopropyl Alcohol, Stearalkonium Bentonite, Synthetic Fluorphlogopite, Etocrylene, Silica, Diacetone Alcohol, Bambusa Vulgaris Leaf/Stem Extract, Sorbic Acid, Hexanal, Helianthus Annuus (Sunflower) Seed Oil, Aluminum Hydroxide, Acetone, Kaolin, Phosphoric Acid, Lithothamnion Calcareum Extract, Triethoxycaprylylsilane, Tin Oxide, Mannitol, Solum Diatomeae/Diatomaceous Earth/Terre De Diatomees, Bambusa Vulgaris Sap Extract, Zinc Sulfate, N-Butyl Alcohol, Tocopherol, [May Contain/Peut Contenir/+/-:Mica, Titanium Dioxide (CI 77891), Ultramarines (CI 77007), Manganese Violet (CI 77742), D&C Red No. 6 Barium Lake (CI 15850), Aluminum Powder (CI 77000), D&C Red No. 34 Calcium Lake (CI 15880), Iron Oxides (CI 77491, CI 77492, CI 77499), D&C Red No. 7 Calcium Lake (CI 15850), D&C Black No. 2 [Nano] (CI 77266), Ferric Ammonium Ferrocyanide (CI 77510), Fd&C Yellow No. 5 Aluminum Lake (CI 19140), D&C Red No. 30 Aluminum Lake (CI 73360)]",https://www.ulta.com/p/good-kind-pure-geode-joy-nail-polish-collection-pimprod2030730?sku=2611208,0,4.3
Milani,Rose Powder Blush,"Home
Makeup
Face
Blush","Talc, Mica (CI 77019), Aluminum Starch Octenylsuccinate, Octyldodecyl Stearoyl Stearate, Nylon-12, Lauroyl Lysine, Zinc Stearate, Bis-Diglyceryl Polyacyladipate-2, Coco-Caprylate, Undecylenoyl Glycine, Sodium Dehydroacetate, Capryloyl Glycine, Macadamia Ternifolia Seed Oil, Rosa Canina Fruit Oil, Tocopherol, Synthetic Fluorphlogopite, Tin Oxide. +/- May Contain: Titanium Dioxide (CI 77891), Iron Oxides(CI 77491, CI 77492, CI 77499), Ultramarine Blue (CI 77007), Manganese Violet (CI 77742), Chromium Hydroxide Green (CI 77289), Chromium Oxide Green (CI 77288), Ferric Ferrocyanide (CI 77510), Blue 1 Lake (CI 42090), Carmine (CI 75470), Yellow 5 Lake (CI 19140), Red 36 (CI 12085), Red 7 Lake (CI 15850), Red 28 Lake (CI 45410).",https://www.ulta.com/p/rose-powder-blush-xlsImpprod18001081?sku=2529586,0,4.1
jane iredale,Dazzle & Shine Eye Shadow Kit ,"Home
Gifts
By Category
Makeup Gifts","Mica, Synthetic Fluorphlogopite, Octyldodecyl Stearoyl Stearate, Caprylic/Capric Triglyceride, Silica, Butyrospermum Parkii (Shea) Butter, Zinc Stearate, Boron Nitride, Punica Granatum (Pomegranate) Seed Oil, Pinus Strobus Bark Extract, Caprylyl Glycol, Maltodextrin, Triethoxycaprylylsilane. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77489, CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Red 40 Lake (CI 16035), Ultramarines (CI 77007).",https://www.ulta.com/p/dazzle-shine-eye-shadow-kit-pimprod2029356?sku=2590720,0,4.6
Milani,Supreme Kohl Kajal Eyeliner Pencil,"Home
Makeup
Eyes
Eyeliner","Cyclopentasiloxane, Hydrogenated Olive Oil Stearyl Esters, Polyethylene, Polybutene, Silica Silylate, Euphorbia Cerifera (Candelilla) Wax, Octyldodecanol, Cera Microcristallina (Microcrystalline Wax) , Theobroma Grandiflorum (Cocoa) Seed Butter, Sodium Ascorbyl Phosphate, Pentaerythrityl Tetra-di-t-Butyl Hydroxyhydrocinnamate, Tocopherol, Sodium Hyaluronate, Zinc Gluconate, Magnesium Aspartate, Water (Aqua), Copper Gluconate, Mica, Iron Oxide (CI 77499), Black 2 (CI 77266), Ferric Ferrocyanide (CI 77510).",https://www.ulta.com/p/supreme-kohl-kajal-eyeliner-pencil-pimprod2037552?sku=2605160,0,4.6
Pacifica,Neutralizing Mattifier Soft Focus Translucent Powder,"Home
Makeup
Face
Setting Spray & Powder","Mica, Silica, Diheptyl Succinate, Capryloyl Glycerin/Sebacic Acid Copolymer, Zinc Stearate, Lauroyl Lysine, Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Fruit Extract, Nelumbo Nucifera Seed Powder, Isostearyl Neopentanoate, Tocopheryl Acetate, Prunus Serotina (Wild Cherry) Fruit Extract, Potassium Sorbate, Sodium Benzoate, Citronellol*, Geraniol*, Parfum (Natural/Naturelle). May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",https://www.ulta.com/p/neutralizing-mattifier-soft-focus-translucent-powder-xlsImpprod15971011?sku=2507076,0,4.6
Clinique,Touch Base For Eyes Eyeshadow Primer,"Home
Makeup
Eyes
Eye Primer & Base","Cyclopentasiloxane, Aluminum Distearate, Octyldodecanol, Ceresin, Zinc Stearate, Dimethicone, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Hydrated Silica.
May Contain: Bismuth Oxychloride (CI 77163), Titanium Dioxide (CI 77891), Mica, Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Chromium Oxide Greens (CI 77288), Ultramarines (CI 77007), Ferric Ferrocyanide (CI 77510), Chromium Hydroxide Green (CI 77289), Carmine (CI 75470).
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.ulta.com/p/touch-base-eyes-eyeshadow-primer-xlsImpprod10791989?sku=2153507,0,4.3
NUDESTIX,Eyebrow Stylus + Gel,"Home
Makeup
Eyes
Eyebrows","Eyebrow Stylus Pencil: Hydrogenated Soybean Oil, Hydrogenated Coco-Glycerides, Hydrogenated Vegetable Oil, Zinc Stearate, Stearic Acid, Copernicia Cerifera (Carnauba) Wax, Polyglyceryl-2 Triisostearate, Tocopherol, Caprylyl Glycol, Phenoxyethanol, Ascorbyl Palmitate, Hexylene Glycol. May Contain: Mica (CI 77019), Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Ferric Ammonium Ferrocyanide (CI 77510).
Eyebrow Stylus Gel: Aqua, VP/VA Copolymer, Alcohol, Butylene Glycol, Tromethamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Phenoxyethanol, Caprylyl Glycol, Disodium EDTA, Hexylene Glycol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",https://www.ulta.com/p/eyebrow-stylus-gel-xlsImpprod15581003?sku=2508176,0,4.5
NARS,Summer Orgasm Mini Duo,"Home
Makeup
Travel Size","Mini Orgasm Blush: Talc, Octyldodecyl Stearate, Octyldodecyl Stearoyl Stearate, Zinc Stearate, Tin Oxide, Caprylyl Glycol, Phenoxyethanol, (May Contain/Peut Contenir): Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Manganese Violet (CI 77742), Mica, Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Red 34 Lake (CI 15880), Red 7 Lake (CI 15850), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140).
Mini Orgasm Afterglow Lip Balm: Hydrogenated Polyisobutene, Triisostearin, Squalane, Bis-Diglyceryl Polyacyladipate-2, Diphenylsiloxy Phenyl Trimethicone, Polyethylene, Ethylhexyl Methoxycinnamate/Octinoxate, Microcrystalline Wax, Diisostearyl Malate, Cocos Nucifera (Coconut) Oil, Mica, Titanium Dioxide, Glyceryl Diisostearate, Phenoxyethanol, Iron Oxides, Red 7 Lake, Red 27, Gardenia Taitensis Flower Extract, Simethicone, Tocopheryl Acetate, Carmine, Trimethylolpropane Triethylhexanoate, Lauryl Pca, Simmondsia Chinensis (Jojoba) Seed Oil, Bht, Tocopherol, Silica, Punica Granatum Flower Extract, Aluminum Hydroxide, Polysilicone-2, Tin Oxide.",https://www.ulta.com/p/summer-orgasm-mini-duo-pimprod2024277?sku=2580568,0,4.4
