company,product name ,category,ingredients,link,total number of reviews,product rate 
Bed Head,Hair Wax Stick For Strong Hold,"Home
Hair
Styling Products
Wax & Pomade","Ricinus Communis (Castor) Seed Oil, Hydrogenated Castor Oil, Cera Alba (Beeswax), Rhus Ucedanea Fruit (Wax) Euphorbia Cerifera (Candelilla Cera) Wax, Sorbitan Stearate, BHT, Parfum (Fragrance), BenzylUucedane, Linalool.",https://www.ulta.com/p/hair-wax-stick-strong-hold-xlsImpprod4750117?sku=6026448,0,4.2
FLOWER Beauty,Lip And Cheek Gel Crush,"Home
Makeup
Lips
Lip Tints & Balms","Ethylhexyl Palmitate, Tridecyl Trimellitate, Ceresin, Polyethylene, Beeswax (Cera Alba/Cire D'abeille), Phenoxyethanol, Tocopheryl Acetate, Flavor (Aroma), Limonene, Citral, Linalool. [+/-]: Red 6 Lake (CI 15850), Titanium Dioxide (CI 77891), Yellow 6 Lake (CI 15985).",https://www.ulta.com/p/lip-cheek-gel-crush-pimprod2018369?sku=2597111,0,4.4
Burt's Bees,Superfruit Lip Balm 4 Pack,"Home
Gifts
By Price
$25 and Under","Pink Grapefruit: Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Cera Alba (Beeswax, Cired'abeille), Ricinus Communis (Castor) Seed Oil, Aroma (Flavor)*, Lanolin, Citrus Paradisi (Grapefruit) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopherol, Ammonium Glycyrrhizate, Canola Oil (Huile De Colza), Glycine Soja (Soybean) Oil, Citral, Limonene.
Mango: Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Cera Alba (Beeswax, Cire d'abeille), Aroma (Flavor)*, Ricinus Communis (Castor) Seed Oil, Mangifera Indica (Mango) Seed Butter, Lanolin, Ammonium Glycyrrhizate, Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Glycine Soja (Soybean) Oil, Canola Oil (Huile De Colza), Limonene, Linalool.
Coconut & Pear: Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Cera Alba (Beeswax, Cired'abeille), Aroma (Flavor)*, Ricinus Communis (Castor) Seed Oil, Butyrospermum Parkii (Shea) Butter, Lanolin, Pyrus Communis (Pear) Fruit Extract, Ammonium Glycyrrhizate, Tocopherol, Glycine Soja (Soybean) Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Canola Oil (Huile De Colza), Linalool, Limonene, Geraniol.
Pomegranate: Helianthus Annuus (Sunflower) Seed Oil, Cera Alba (Beeswax, Cire D'abeille), Cocos Nucifera(Coconut) Oil, Ricinus Communis (Castor) Seed Oil, Lanolin, Aroma (Flavor)*, Punica Granatum (Pomegranate) Seed Oil, Tocopherol, Rosmarinus O_Cinalis (Rosemary) Leaf Extract, Glycine Soja (Soybean) Oil, Canola Oil (Huile De Colza), Carmine, Benzyl Salicylate, Cinnamal, Citral, Eugenol, Geraniol, Hydroxycitronellal, Limonene, Linalool
*Natural flavor",https://www.ulta.com/p/superfruit-lip-balm-4-pack-xlsImpprod11731375?sku=2284490,0,4.6
Honest Beauty,2-in-1 Extreme Length Mascara + Lash Primer,"Home
Makeup
Eyes
Mascara","Mascara: Water (Aqua), Beeswax (Cera Alba), Potassium Cetyl Phosphate, Glycerin, Glyceryl Stearate Se, Copernicia Cerifera (Carnauba) Wax, Castor Isostearate Beeswax Succinate, Acacia Senegal Gum, Cellulose, Glyceryl Behenate, Jojoba Esters, Tocopherol, Ethylhexylglycerin, Caprylyl Glycol, Cetyl Palmitate, Sorbitan Olivate, Sorbitan Palmitate, Xanthan Gum, Caprylic/Capric Glycerides, Sodium Benzoate, Cellulose Gum, Potassium Sorbate, Sodium Phytate, Phosphoric Acid, Iron Oxides (CI 77499).
Primer: Water (Aqua), Beeswax (Cera Alba), Potassium Cetyl Phosphate, Glycerin, Jojoba Esters, Glyceryl Stearate, Zea Mays (Corn) Starch, Copernicia Cerifera (Carnauba) Wax, Acacia Senegal Gum, Cetyl Palmitate, Sorbitan Olivate, Sorbitan Palmitate, Cetearyl Alcohol, Cellulose, Castor Isostearate Beeswax Succinate, Ethylhexylglycerin, Caprylyl Glycol, Caprylic/Capric Glycerides, Sodium Benzoate, Xanthan Gum, Cellulose Gum, Potassium Sorbate, Sodium Phytate, Tocopherol, Phosphoric Acid.",https://www.ulta.com/p/2-in-1-extreme-length-mascara-lash-primer-pimprod2015071?sku=2566402,0,4.3
Love Wellness,Comfy Cream,"Home
Body Care
Self Care & Wellness
Down There Care","Caprylic/Capric Triglyceride, Beeswax, Cocos Nucifera (Coconut) Oil, Synthetic Beeswax, Vaccinium Macrocarpon (Cranberry), Borago Officinalis Seed Oil, Mangifera Indica (Mango) Seed Butter, Avena Sativa (Oat) Kernel Oil, Bisabolol, Theobroma Cacao (Cacao) Seed Butter, Isosorbide Dicaprylate, Tocopherol.",https://www.ulta.com/p/comfy-cream-pimprod2039475?sku=2610147,0,3
Lime Crime,Bushy Brow Pomade Pencil,"Home
Makeup
Eyes
Eyebrows","Dimethicone, Hydrogenated Microcrystalline Cera/Wax/Cire, Synthetic Beeswax,Trimethylsiloxysilicate, Neopentyl Glycol Diheptanoate, Isododecane,Pentaerythrityl Tetraisostearate, VP/Hexadecene Copolymer, SyntheticFluorphlogopite, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Isoamyl Laurate, Tin Oxide, Mica, CI 77891 (Titanium Dioxide), CI 19140 (Yellow 5Lake), CI 42090 (Blue 1 Lake).",https://www.ulta.com/p/bushy-brow-pomade-pencil-pimprod2028449?sku=2588960,0,3.4
about-face,Brow Artist,"Home
Makeup
Eyes
Eyebrows","Trimethylsiloxysilicate, Methyl Trimethicone, Synthetic Wax, Isohexadecane, Mica, CI 77492 (Iron Oxides), CI 77499 (Iron Oxides), Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Ceresin, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), Ricinus Communis (Castor) Seed Oil, Synthetic Beeswax, Stearic Acid, Glyceryl Caprylate, Caprylyl Glycol.",https://www.ulta.com/p/brow-artist-pimprod2034434?sku=2601453,0,4
Burt's Bees,Assorted Balm Pack,"Home
Gifts
By Category
Skin Gifts","Beeswax Lip Balm: Beeswax, Cocos Nucifera (Coconut) Oil, Helianthus Annuus (Sunflower) Seed Oil, Mentha Piperita (Peppermint) Oil, Lanolin, Tocopherol, Rosmarinus O_Cinalis (Rosemary) Leaf Extract, Glycine Soja (Soybean) Oil, Canola Oil, Limonene, Linalool, Eugenol.
Cucumber Mint Lip Balm: Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Beeswax, Ricinus Communis (Castor) Seed Oil, Natural Flavor, Lanolin Cucmis Salivus (Cucmber) Fruit Extract, Menthe Piperita (Peppermint) Oil. Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Pakii (Shea) Butter, Carthamus Tinctorius (Safflower) Seed Oil, Glycine Soja (Soybean) Oil, Tocopherol, Citric Acid, Rebaudioside A, Limonene, Linalool.
Coconut & Pear Lip Balm: Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Cera Alba (Beeswax, Cire D'Abeille), Aroma (Natural Flavor), Ricinus Communis (Castor) Seed Oil, Butyrospermum Parkii (Shea) Butter, Lanolin, Pyrus Communis (Pear) Fruit Extract, Ammonium Glycyrrhizate, Tocopherol, Glycine Soja (Soybean) Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Canola Oil (Huile De Colza), Linalool, Limonene, Geraniol.
Vanilla Bean Lip Balm: Helianthus Annuus (Sunflower) Seed Oil, Cocos Nucifera (Coconut) Oil, Cera Alba (Beeswax, Cire D'Abeille), Aroma (Natural Flavor), Ricinus Communis (Castor) Seed Oil, Lanolin, Butyrospermum Parkii (Shea) Butter, Theobroma Cacao (Cocoa) Seed Butter, Vanilla Tahitensis Fruit Extract, Vanilla Planifolia Fruit Extract, Ammonium Glycyrrhizate, Tocopherol, Glycine Soja (Soybean) Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Canola Oil (Huile De Colza).",https://www.ulta.com/p/assorted-balm-pack-pimprod2013486?sku=2561666,0,4.6
Nads Natural,Body Wax Strips,"Home
Body Care
Self Care & Wellness
Hair Removal","Triethylene Glycol Rosinate, Glyceryl Rosinate, Cera Alba (Beeswax), Mica, Parfum (Fragrance), CI 77891 (Titanium Dioxide), CI 47000 (Yellow 11), CI 61565 (Green 6).",https://www.ulta.com/p/body-wax-strips-xlsImpprod2300081?sku=2159958,0,3.5
Mario Badescu,Protein Night Cream,"Home
Skin Care
Moisturizers
Night Cream","Aqua (Water, Eau), Petrolatum, Oryza Sativa (Rice) Bran Oil, Glycerin, Ethylhexyl Palmitate, C10-30 Cholesterol/Lanosterol Esters, Cetyl Alcohol, Cera Alba (Beeswax, Cire d'abeille), Dimethicone, Olus (Vegetable Oil, Huile Végétale), Stearic Acid, Propylene Glycol, Oligopeptide-5, Retinyl Palmitate, Collagen, Zea Mays (Corn) Oil, Sodium Borate, Triethanolamine, Diazolidinyl Urea, Sodium Benzoate, Propylparaben, Methylparaben, Glyceryl Acrylate/Acrylic Acid Copolymer, BHA, Parfum (Fragrance), Phenoxyethanol, Citric Acid, Hexyl Cinnamal.",https://www.ulta.com/p/protein-night-cream-xlsImpprod6200661?sku=2209752,0,4.1
