company,product name ,category,ingredients,link,total number of reviews,product rate 
ULTA Beauty Collection,Automatic Eyeliner,"Home
Makeup
Eyes
Eyeliner","Cyclopentasiloxane, Paraffin, Diisostearyl Dimer Dilinoleate, PEG-6 Beeswax, Hydrogenated Castor Oil, Ozokerite, Silica, Ceresin, Tocopherol, Ascorbyl Palmitate. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Bronze Powder (CI 77400), Copper Powder (CI 77400).",https://www.ulta.com/p/automatic-eyeliner-1612?sku=2578403,0,4.1
NUDESTIX,Magnetic Matte Lip Color,"Home
Makeup
Lips
Lipstick","Isododecane, Mica, Polymethylsilsesquioxane, Synthetic Wax, Hydrogenated Polydicyclopentadiene, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Hydrogenated Polyisobutene, Polybutene, Silica, Nylon-12, Glyceryl Caprylate, Polyethylene, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Synthetic Beeswax, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Copernicia Cerifera (Carnauba) Wax. May Contain: Titanium Dioxide (Ci77891), Iron Oxides (CI 77491, CI 77492, Ci77499), Carmine (CI 75470) Yellow 5 Lake (CI 19140), Manganese Violet (CI 77742).
Vegan Shades in Boho: Isododecane, Mica, Polymethylsilsesquioxane, Synthetic Wax, Hydrogenated Polydicyclopentadiene, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Hydrogenated Polyisobutene, Polybutene, Silica, Nylon-12, Glyceryl Caprylate, Polyethylene, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Synthetic Beeswax, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Copernicia Cerifera (Carnauba) Wax. May Contain: Titanium Dioxide (Ci77891), Iron Oxides (CI 77491, CI 77492, Ci77499).",https://www.ulta.com/p/magnetic-matte-lip-color-xlsImpprod15581023?sku=2508143,0,4.2
J.Cat Beauty,3D Glow Pop Holo Stick,"Home
Makeup
Face
Highlighter","Ethylhexyl Palmitate, Ceresin,Petrolatum,Microcrystalline Wax,Dimethicone/Vinyl Dimethicone Crosspolymer, Silica,Bis-Diglyceryl Polyacyladipate-2,Synthetic Beeswax,Hydrogenated Coconut Oil,Isopropyl Myristate, Peg-30 Dipolyhydroxystearate, Propylparaben, Bht, Pigment. May Contain: Mica (CI 77019),Titanium Dioxide (CI 77891), D&C Red No.7 (CI 15850),Chromium Oxide Greens (CI 77288), Ultramarines (CI 77007), FD&C Yellow No.5 (CI 19140).",https://www.ulta.com/p/3d-glow-pop-holo-stick-pimprod2002000?sku=2540728,0,4.7
florence by mills,Self-Reflecting Highlighter Stick,"Home
Makeup
Face
Highlighter","PPG-3 Benzyl Ether Myristate, Polyethylene, Phenyl Trimethicone, Polybutene, Mica, Synthetic Fluorphlogopite, Ethylhexyl Palmitate, Ethylhexyl Stearate, Synthetic Beeswax, Nylon-12, Euphorbia Cerifera (Candelilla) Wax/Euphorbia Cerifera Cera/Cire De Candelilla, Copernicia Cerifera (Carnauba) Wax/Copernicia Cerifera Cera/Cire De Carnauba, Silica, Calcium Aluminum Borosilicate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tin Oxide, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).",https://www.ulta.com/p/self-reflecting-highlighter-stick-pimprod2030683?sku=2590924,0,4.7
Petite n Pretty,Best in Bling Deluxe 10K Shine Lip Gloss Trio,"Home
Makeup
Gifts & Value Sets","Gia Pink: Polybutene, Isostearyl Isostearate, Hydrogenated Polyisobutene, Polyglyceryl-2 Tetraisostearate, Hydrogenated Styrene/Methyl Styrene/Indene Copolymer, Synthetic Beeswax, Caprylic/Capric Triglyceride, Mica, Stearalkonium Bentonite, Propylene Carbonate, Flavor/Aroma, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Tocopherol, Linalool, Limonene. May Contain: Titanium Dioxide (CI 77891), Red 28 Lake (CI 45410), Iron Oxides (CI 77492), Blue 1 Lake (CI 42090).
Glamethyst: Polybutene, Hydrogenated Polyisobutene, Isostearyl Isostearate, Polyglyceryl-2 Tetraisostearate, Hydrogenated Styrene/Methyl Styrene/Indene Copolymer, Synthetic Beeswax, Caprylic/Capric Triglyceride, Silica, Calcium Sodium Borosilicate, Mica, Stearalkonium Bentonite, Propylene Carbonate, Flavor/Aroma, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Dicalcium Phosphate, Tin Oxide, Tocopherol, Calcium Aluminum Borosilicate, Linalool, Limonene. May Contain: Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Red 28 Lake (CI 45410).
Glow Down: Polybutene, Isostearyl Isostearate, Hydrogenated Polyisobutene, Polyglyceryl-2 Tetraisostearate, Hydrogenated Styrene/Methyl Styrene/Indene Copolymer, Synthetic Beeswax, Caprylic/Capric Triglyceride, Calcium Sodium Borosilicate, Stearalkonium Bentonite, Mica, Calcium Aluminum Borosilicate, Silica, Propylene Carbonate, Flavor/Aroma, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Tin Oxide, Dicalcium Phosphate, Tocopherol, Linalool, Limonene. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).",https://www.ulta.com/p/best-in-bling-deluxe-10k-shine-lip-gloss-trio-pimprod2033164?sku=2596984,0,5
L'Oréal,Waterproof Air Volume Mega Mascara,"Home
Makeup
Eyes
Mascara","Isododecane, Cera Alba/Beeswax/Cire Dabeille, Copernicia Cerifera Cera/Carnauba Wax/Cire De Carnauba, Disteardimonium Hectorite, Dilinoleic Acid/Butanediol Copolymer, Aqua/Water/Eau, Allyl Stearate/Va Copolymer, Oryza Sativa Cera/Rice Bran Wax, Paraffin, Alcohol Denat., Polyvinyl Laurate, Vp/Eicosene Copolymer, Propylene Carbonate, Talc, Synthetic Beeswax, Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer, Peg-30 Glyceryl Stearate, Rayon, Candelilla Cera/Candelilla Wax/Cire De Candelilla, Methylsilanol/Silicate Crosspolymer, Panthenol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Bht [+/- May Contain/Peut Contenir, CI 77499 / Iron Oxides, CI 77891 / Titanium Dioxide] Fil Code B245719/1.",https://www.ulta.com/p/waterproof-air-volume-mega-mascara-pimprod2018909?sku=2572120,0,3.5
Winky Lux,Fruity pH Lip Gloss,"Home
Makeup
Lips
Lip Gloss","Tridecyl Trimellitate, Polybutene, Isotridecyl Isononanoate, Phenyl Trimethicone, Caprylic/Capric Triglyceride, Synthetic Beeswax, Silica Dimethyl Silylate, Aroma/Flavor, Phenoxyethanol, Simmondsia Chinensis (Jojoba) Seed Oil, Opuntia Ficus-Indica Seed Oil, Ethylhexylglycerin, Tocopheryl Acetate. May Contain: CI 77891 (Titanium Dioxide), CI 45410 (Red 27).",https://www.ulta.com/p/fruity-ph-lip-gloss-pimprod2022401?sku=2578985,0,4.8
L'Oréal,Voluminous Lash Paradise Mascara,"Home
Gifts
By Price
$25 and Under","Aqua / Water / Eau, Paraffin, Potassium Cetyl Phosphate, Copernicia Cerifera Cera / Carnauba Wax / Cire De Carnauba, Ethylene / Acrylic Acid Copolymer, Styrene / Acrylates / Ammonium Methacrylate Copolymer, Cera Alba / Beeswax / Cire Dabeille, Synthetic Beeswax, Bis-Diglyceryl Polyacyladipate-2, Polybutene, Cetyl Alcohol, Steareth-20, Glyceryl Dibehenate, Steareth-2, Phenoxyethanol, Hydroxyethylcellulose, Acacia Senegal Gum, Tribehenin, Caprylyl Glycol, Glyceryl Behenate, Sodium Dehydroacetate, Hydrogenated Jojoba Oil, Hydrogenated Palm Oil, Disodium EDTA, Butylene Glycol, Sodium Laureth Sulfate, Silica, Tetrasodium EDTA, Potassium Sorbate, BHT. May Contain: CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 77007 / Ultramarines.",https://www.ulta.com/p/voluminous-lash-paradise-mascara-xlsImpprod16151007?sku=2510037,0,4
NYX Professional Makeup,Worth The Hype Volumizing & Lengthening Black Mascara,"Home
Makeup
Eyes
Mascara","Water/Aqua/Eau, Paraffin, Potassium Cetyl Phosphate, Copernicia Cerifera (Carnauba) Wax/Copernicia Cerifera Cera/Cire de Carnauba, Ethylene/Acrylic Acid Copolymer, Styrene/ Acrylates/Ammonium Methacrylate Copolymer, Beeswax/Cera Alba/Cire d'Abeille, Synthetic Beeswax, Bis-Diglyceryl Polyacyladipate-2, Polybutene, Cetyl Alcohol, Steareth-20, Glyceryl Dibehenate, Steareth-2, Tribehenin, Acacia Senegal Gum, Glyceryl Behenate, Sodium Laureth Sulfate, Disodium EDTA, Propylene Glycol, Hydrogenated Jojoba Oil, Hydrogenated Palm Oil, Hydroxyethylcellulose, Caprylyl Glycol, Tetrasodium EDTA, Trisodium EDTA, Soluble Collagen, Butylene Glycol, BHT, Potassium Sorbate, Sodium Dehydroacetate, Phenoxyethanol. May Contain (+/-): Iron Oxides (CI 77499). <13044>",https://www.ulta.com/p/worth-hype-volumizing-lengthening-black-mascara-xlsImpprod17451095?sku=2520612,0,4.3
NYX Professional Makeup,Butter Gloss,"Home
Gifts
By Price
$25 and Under","Mineral Oil / Paraffinum Liquidum / Huile Minérale, Polybutene, Diisostearyl Malate, Beeswax / Cera Alba / Cire d'Abeille, Silica Dimethyl Silylate, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Polyethylene, Sorbitan Sesquioleate, Paraffin, Barium Sulfate (CI 77120), Rosin / Colophonium / Colophane, Phenoxyethanol, Fragrance / Parfum. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Red 6 (CI 15850), Red 7 (CI 15850), Red 28 Lake (CI 45410), Yellow 5 Lake (CI 19140).",https://www.ulta.com/p/butter-gloss-xlsImpprod5050009?sku=2596593,0,4.6
