company,product name ,category,ingredients,link,total number of reviews,product rate 
Mad Hippie,Ultra Sheer Body SPF 40+,"Home
Body Care
Suncare
Sunscreen","Active: Zinc Oxide (non-nano): 20.5% Inactive: Aloe Barbadensis Leaf Juice, Ananas Sativus (Pineapple) Fruit Extract, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Bisabolol, Butyloctyl Salicylate, Butyrospermum Parkii (Shea) Butter,Caprylhydroxamic Acid, Capryloyl Glycerin/Sebacic Acid Copolymer, Caprylyl Glycol, Carthamus Tinctorius (Safflower) Seed Oil, Cellulose Gum, Cetearyl Alcohol, Cetyl Alcohol, Citric Acid, Coco-Glucoside, Cocos Nucifera (Coconut) Oil, Echinacea Purpurea Extract, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Hippophae Rhamnoides Fruit Juice, Lecithin, Methyl Dihydroabietate, Microcrystalline Cellulose, Polyhydroxystearic Acid, Quercetin, Rubus Idaeus (Raspberry) Seed Oil, Silybum Marianum Extract, Sodium Gluconate, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Squalane, Theobroma Cacao (Cocoa) Seed Butter, Tocopherol, Water.",https://www.ulta.com/p/ultra-sheer-body-spf-40-pimprod2025065?sku=2581558,0,3.6
Live Tinted,Hueguard 3-in-1 Broad Spectrum Mineral SPF 30 Primer,"Home
Body Care
Suncare
Sunscreen","Active Ingredients Zinc Oxide 18.23 Inactive Ingredients Water (Aqua), Caprylic/ Capric Triglyceride, C13-15 Alkane, Propa- Nediol, C15-19 Alkane, Bis-Diglyceryl Polyacyl- Adipate-2, Tocopherol, Octyldodecanol, Poly- Hydroxystearic Acid, Inositol, Hippophae Rhamnoides Oil, Silica, Polyacrylate Cross- Polymer-6, Isostearic Acid, Lecithin, Polygly- Ceryl-3 Polyricinoleate, Xanthan Gum, Coco-Glu- Coside, Polyglycerin-3, Polyglyceryl-3, Lactate/ Laurate,, Bisabolol, Caprylhydroxamic Acid, Sodium Dilauramidoglu- Tamide Lysine, Sodium Citrate, Citric Acid, Arachidyl Glucoside, Sodium Phytate, Gly- Cerin, Physalis Alke- Kengi Calyx Extract, Biosaccharide Gum-1, Sodium Levulinate, Glyceryl Caprylate, Cetearyl Alcohol, T-Butyl Alcohol, Sodium Anisate, Glucose, Beta- Carotene, Behenyl Alcohol, Arachidyl Alcohol, Iron Oxides (CI 77492), Iron Oxide (CI 77491).",https://www.ulta.com/p/hueguard-3-in-1-broad-spectrum-mineral-spf-30-primer-pimprod2028585?sku=2588656,0,4.6
Olay,Regenerist Mineral Sunscreen Hydrating Moisturizer SPF 30,"Home
Skin Care
Moisturizers
Face Moisturizer","Active: Zinc Oxide 17.5%.
Inactive: Water, Caprylic/Capric Triglyceride, Isohexadecane, Glycerin, Steareth-21, Polyhydroxystearic Acid, Polyacrylamide, Stearyl Alcohol, Triethoxycaprylylsilane, C13-14 Isoparaffin, Behenyl Alcohol, Hydroxyacetophenone, Phenoxyethanol, Cetyl Alcohol, Steareth-2, Laureth-7, Disodium EDTA, Niacinamide, Tocopheryl Acetate, Palmitoyl Pentapeptide-4.",https://www.ulta.com/p/regenerist-mineral-sunscreen-hydrating-moisturizer-spf-30-pimprod2018843?sku=2572622,0,4.6
bareMinerals,Eco-Beautiful Deluxe Original Loose Mineral Foundation SPF 15,"Home
Makeup
Face
Foundation","Titanium Dioxide, Mica. (+/-) CI 77163, CI 77492, CI 77491, CI 77499.",https://www.ulta.com/p/eco-beautiful-deluxe-original-loose-mineral-foundation-spf-15-pimprod2038703?sku=2609929,0,5
CoTz,Face Prime & Protect Tinted SPF 40,"Home
Body Care
Suncare
Sunscreen","Active: Titanium Dioxide 8%, Zinc Oxide 3.8%. Inactive: Alumina, Cyclohexasiloxane, Cyclopentasiloxane, Dimethicone, Dimethicone Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethiconol, Iron Oxide (CI77491), Lauryl PEG/PPG-18/18-Methicone, Hydrogen Dimethicone, PEG-10 Dimethicone.",https://www.ulta.com/p/face-prime-protect-tinted-spf-40-xlsImpprod4190153?sku=2240991,0,4.5
Shiseido,Ultimate Sun Protection Lotion Broad Spectrum SPF 50+ WetForce for Sensitive Skin and Children,"Home
Body Care
Suncare
Sunscreen","Active: Purpose Titanium Dioxide 9.1% Sunscreen, Zinc Oxide 19.3% Sunscreen.
Inactive: Dimethicone, Water, Butylene Glycol, Glycerin, Diisopropyl Sebacate, Polymethyl Methacrylate, Hydrogenated Polydecene, PEG-10 Dimethicone, Cyclomethicone, PEG-9 Polydimethylsiloxyethyl Dimethicone, Bis-Butyldimethicone Polyglyceryl-3, PEG-6, Trimethylsiloxysilicate, PEG-32, PEG/PPG-14/7 Dimethyl Ether, Scutellaria Baicalensis Root Extract, Rubus Idaeus (Raspberry) Fruit Extract, Aloe Barbadensis Leaf Extract, Thymus Serpillum Extract, Aluminum Distearate, Aluminum Hydroxide, Hydrogen Dimethicone, Isostearic Acid, Disteardimonium Hectorite, Hydrated Silica, Sodium Metaphosphate, Triethoxycaprylylsilane, Stearic Acid, Dextrin Palmitate, Distearyldimonium Chloride, Tocopherol, Syzygium Jambos Leaf Extract.",https://www.ulta.com/p/ultimate-sun-protection-lotion-broad-spectrum-spf-50-wetforce-sensitive-skin-children-xlsImpprod14351097?sku=2305988,0,3.7
HOURGLASS,Veil Mineral Primer,"Home
Luxury at Ulta Beauty
Makeup","Cyclopentasiloxane, Isododecane, Polysilicone-11, Zinc Oxide, Polymethylsilsesquioxane, Titanium Dioxide, Peg-10 Dimethicone, Hexyl Laurate, Polyglyceryl-4 Isostearate, Stearic Acid, Alumina.",https://www.ulta.com/p/veil-mineral-primer-pimprod2020483?sku=2572601,0,4.3
Tarte,Travel Size BB Blur Tinted Moisturizer Broad Spectrum SPF 30 Sunscreen,"Home
Skin Care
Moisturizers
Tinted Moisturizer","Medium: Active: Titanium Dioxide 4.55%, Zinc Oxide 3.5%. Inactive: Cyclopentasiloxane, Isododecane, Polysilicone-11, Mica, Polymethylsilsesquioxane, Hexyl Laurate, Peg-10 Dimethicone, Polyglyceryl-4 Isostearate, Stearic Acid, Cetyl Peg/Ppg-10/1 Dimethicone, Alumina, Triethoxycaprylylsilane, Dipalmitoyl Hydroxyproline, Diamond Powder, Iron Oxides.",https://www.ulta.com/p/travel-size-bb-blur-tinted-moisturizer-broad-spectrum-spf-30-sunscreen-pimprod2021638?sku=2578612,0,3.6
Drunk Elephant,Umbra Sheer Physical Daily Defense SPF 30,"Home
Body Care
Suncare
Sunscreen","Active Ingredients: Zinc Oxide 20% Inactive Ingredients: Water, Caprylic/Capric Triglyceride, Dicaprylyl Carbonate, Pentylene Glycol, Glycerin, Steareth-2, Propanediol, Steareth-21, Polyhydroxystearic Acid, Cetearyl Alcohol, Silica, Sclerocarya Birrea Seed Oil, Aloe Barbadensis Leaf Extract, Chondrus Crispus Extract, Haematococcus Pluvialis Extract, Helianthus Annuus (Sunflower) Sprout Extract, Vitis Vinifera (Grape) Juice Extract, Helianthus Annuus (Sunflower) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Raspberry Seed Oil/Tocopheryl Succinate Aminopropanediol Esters, Hydrolyzed Wheat Protein, Tocopheryl Acetate, Tocopherol, Sea Water, Acetyl Glucosamine, Cetearyl Glucoside, Sodium Stearoyl Glutamate, Tetrahexyldecyl Ascorbate, Glycine, Sucrose, Lecithin, Triethoxycaprylylsilane, Xanthan Gum, Trisodium Ethylenediamine Disuccinate, Caprylhydroxamic Acid, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin, Sodium Dehydroacetate, Iron Oxides (CI 77491).",https://www.ulta.com/p/umbra-sheer-physical-daily-defense-spf-30-pimprod2028075?sku=2588451,0,4
Olay,Complete UV365 Daily Moisturizer SPF 30,"Home
Skin Care
Moisturizers
Face Moisturizer","Active: Homosalate 8.0%, Avobenzone 3.0%, Octocrylene 2.25%, Ensulizole 2.0%. Water, Isohexadecane, Glycerin, Niacinamide, Panthenol, Camellia Sinensis Leaf Extract, Tocopheryl Acetate, Aloe Barbadensis Leaf Extract, Steareth-21, Cyclopentasiloxane, Polyacrylamide, Stearyl Alcohol, Polymethylsilsesquioxane, Polyethylene, C13-14 Isoparaffin, Behenyl Alcohol, DMDM Hydantoin, Cetyl Alcohol, Triethoxycaprylylsilane, PEG/PPG-20/20 Dimethicone, Laureth-7, Steareth-2, Oleth-3 Phosphate, Disodium EDTA, Iodopropynyl Butylcarbamate.",https://www.ulta.com/p/complete-uv365-daily-moisturizer-spf-30-VP00009?sku=2096508,0,4.5
