company,product name ,category,ingredients,link,total number of reviews,product rate 
ICONIC LONDON,Glaze Crayon Intense,"Home
Makeup
Eyes
Eyeshadow","Crayon: Dimethicone, Trimethylsiloxysilicate, Mica, Polyethylene, Synthetic Wax, Synthetic Fluorphlogopite, Lauroyl Lysine, Octyldodecanol, Hydrogenated Sunflower Seed Oil, Synthetic Beeswax, Disteardimonium Hectorite, Propylene Carbonate, Tin Oxide, Caprylic/Capric Triglyceride, Theobroma Cacao Extract (Theobroma Cacao (Cocoa) Extract), Tocopherol. May Contain: CI 77491 (Iron Oxides), CI 77891 (Titanium Dioxide), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides), CI 77510 (Ferric Ferrocyanide)
Glitter: Aqua (Water, Eau), Glycerin, Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate, PVP, Pentylene Glycol, Alumina, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, 1,2-Hexanediol, Hydroxyacetophenone, Phenoxyethanol, Silica, Sodium Hydroxide, Tetrasodium EDTA, Tin Oxide. May Contain: CI 77499 (Iron Oxides), CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), CI 77492 (Iron Oxides).",https://www.ulta.com/p/glaze-crayon-intense-pimprod2035407?sku=2602935,0,5
L'Oréal,Voluminous Volume Building Waterproof Mascara,"Home
Makeup
Eyes
Mascara","Isododecane, Water, Beeswax, Quaternium-18, Bentonite, Carnauba Wax, Paraffin, Allyl Stearate/VA Copolymer, VA/Vinyl Butyl Benzoate/Crotonates Copolymer, Dimethicone, Propylene Carbonate, Rice Starch, Polyvinyl Laurate, Dimethiconol, 2-Oleamido-1, 3-Octadecanediol, Propylparaben, Sodium DNA. May Contain: Iron Oxides, Ultramarines, Titanium Dioxide.",https://www.ulta.com/p/voluminous-volume-building-waterproof-mascara-14353?sku=1472358,0,3.6
Lano,Golden Dry Skin Salve,"Home
Body Care
Hand & Foot Care
Hand Cream & Foot Cream","Lanolin,* Caprylic/Capric Triglyceride,* Glycerin,* Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba,* Ricinus Communis (Castor) Seed Oil,* Lanolin Oil,* Prunus Armeniaca (Apricot) Kernel Oil,* Mel/Honey/Meil,* Tocopherol,* Cera Alba/Beeswax/ Cire D'abeille,* Fragrance/Parfum (Natural).*
*Naturally Derived/Derive Naturel.",https://www.ulta.com/p/golden-dry-skin-salve-pimprod2017328?sku=2567518,0,4.6
COSRX,Full Fit Propolis Light Cream,"Home
Skin Care
Moisturizers
Face Moisturizer","Propolis Extract, Butylene Glycol, Glycerin, Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil, 1,2-Hexanediol, Honey Extract, Royal Jelly Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cassia Obtusifolia Seed Extract, Cetearyl Olivate, Beeswax, Cetearyl Alcohol, Sorbitan Olivate, Allantoin, Arginine, Carbomer, Xanthan Gum.",https://www.ulta.com/p/full-fit-propolis-light-cream-pimprod2017573?sku=2568303,0,4.2
Eczema Honey,Nut-Free Skin-Soothing Cream,"Home
Body Care
Body Moisturizers
Body Lotion & Creams","Active Ingredient: Colloidal Oatmeal 1.0% (Skin Protectan). Inactive Ingredients: Grapeseed Oil, Organic Honey, Organic Aloe Vera Juice, Beeswax, Organic Sunflower Oil, Water, Sodium Bicarbonate, Phenoxyethanol, Potassium Sorbate, Caprylyl Glycol, Ethylhexyglycerin, Hexylene Glycol (Preservative).
For allergy concerns verify ingredients on packaging prior to use.",https://www.ulta.com/p/nut-free-skin-soothing-cream-pimprod2027228?sku=2585428,0,3.7
Eczema Honey,Gentle Face and Body Lotion Stick,"Home
Body Care
Body Moisturizers
Body Lotion & Creams","Mango Butter (Mangifera Indica Seed Oil), Organic Beeswax (Cera Alba), Cocos Nucifera (Coconut) Oil, Honey (Mel), Vitamin E Oil (Tocopheryl Acetate), Colloidal Oatmeal, Lavender Essential Oil (Lavandula Officinalis Oil), Chamomile (Anthemis Nobilis).
For allergy concerns verify ingredients on packaging prior to use.",https://www.ulta.com/p/gentle-face-body-lotion-stick-pimprod2027229?sku=2585429,0,4.2
Essence,Double Trouble Mascara,"Home
Makeup
Eyes
Mascara","Aqua (Water), Glyceryl Stearate, Copernicia Cerifera (Carnauba) Wax, Synthetic Wax, Vp/Hexadecene Copolymer, Glycerin, Synthetic Beeswax, Polyvinyl Alcohol, Palmitic Acid, Stearic Acid, Acrylates Copolymer, Octyldodecanol, Tocopherol, Cera Microcristallina (Microcrystalline Wax), Hydroxyacetophenone, Ethylhexylglycerin, Sodium Hydroxide, Phenoxyethanol, Ci 77007 (Ultramarines), Ci 77499 (Iron Oxides).",https://www.ulta.com/p/double-trouble-mascara-pimprod2030513?sku=2590871,0,3.8
Gigi,Honee Bear Hard Wax Kit,"Home
Body Care
Self Care & Wellness
Hair Removal","Glyceryl Rosinate, Mineral Oil (Paraffinum Liquidum, Huile minérale), Ethylene/VA Copolymer, Beeswax (Cera Alba, Cire d'abeille), Stearic Acid, Paraffin, Simmondsia Chinensis (Jojoba) Seed Oil, Triticum Vulgare (Wheat) Germ Oil, Tocopheryl Acetate, Olea Europaea (Olive) Fruit Oil, Fragrance (Parfum), Yellow 11 (CI 47000).",https://www.ulta.com/p/honee-bear-hard-wax-kit-pimprod2031645?sku=2593869,0,3.3
Foria,Relief Salve with CBD & Kava,"Home
Body Care
Self Care & Wellness
Intimate Wellness","Organic MCT Coconut Oil, Botanical Infusions (Organically-Grown Kava Root, Organic St. John's Wort, Organic Ginger), Organic Beeswax, Organic Castor Oil, Full-spectrum Extract from USDA organic-certified regeneratively-grown hemp (0.3% THC or less), Organic Essential Oils (Lavender, Peppermint, Eucalyptus, Ginger).",https://www.ulta.com/p/relief-salve-with-cbd-kava-pimprod2034735?sku=2602152,0,4.8
Urban Decay Cosmetics,24/7 Waterline Eyeliner Pencil,"Home
Makeup
Eyes
Eyeliner","Legend: Hydrogenated Polyisobutene, Isododecane, Synthetic Wax, Polymethylsilsesquioxane, Polybutene, Silica, Hydrogenated Polydicyclopentadiene, Oryza Sativa (Rice/Riz) Bran Wax, Hydrogenated Castor Oil, Synthetic Beeswax, Ethylene/Propylene Copolymer, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain: Mica, CI 77499 (Iron Oxides), CI 77510 (Ferric Ferrocyanide).",https://www.ulta.com/p/247-waterline-eyeliner-pencil-xlsImpprod13091139?sku=2293456,0,3.8
