company,product name ,category,ingredients,link,total number of reviews,product rate 
First Aid Beauty,Mineral Sunscreen Zinc Oxide Broad Spectrum SPF 30,"Home
Body Care
Suncare
Sunscreen","Active: 20% Zinc Oxide.
Inactive: Water, Caprylic/Capric Triglyceride, Coconut Alkanes, Glycerin, Cetearyl Alcohol, Coco-Glucoside, Avena Sativa (Oat) Kernel Extract, Tocopherol, Persea Gratissima (Avocado) Oil, Helianthus Annuus (Sunflower) Seed Oil, Arachidyl Alcohol, Behenyl Alcohol, Arachidyl Glucoside, Polyhydroxystearic Acid, Benzyl Alcohol, Xanthan Gum, Coco-Caprylate/Caprate.",https://www.ulta.com/p/mineral-sunscreen-zinc-oxide-broad-spectrum-spf-30-pimprod2032660?sku=2593738,0,4.4
Kinship,Self Reflect Rose Probiotic Moisturizing Sunscreen Zinc Oxide SPF 32,"Home
Skin Care
Moisturizers
Face Moisturizer","Active Ingredient: Zinc Oxide 22.4%
Inactive Ingredients: Water (Aqua), Caprylic/Capric Triglyceride, Glycerin, Coconut Alkanes, Cetearyl Alcohol, Aloe Barbadensis Leaf Juice*, Pyrus Malus (Apple) Fruit Extract, Coco-Glucoside, Lactobacillus Ferment, Rubus Idaeus (Red Raspberry) Seed Oil*, Butylene Glycol, Isostearic Acid, Lecithin, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Coco-Caprylate/Caprate, Caprylyl/Capryl Glucoside, Butyrospermum Parkii Nut Extract, Cocos Nucifera (Coconut) Liquid Endosperm, Curcuma Longa (Turmeric) Rhizomes Oil*, Hydrolyzed Jojoba Esters, Tocopherol, Dipotassium Glycyrrhizinate, Rosa Damascena Flower Oil, Glycyrrhiza Glabra (Licorice) Root Extract, Sclerotium Gum, Cetearyl Glucoside, Ethylhexylglycerin, Octyldodecanol, Xanthan Gum, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, Tapioca Starch, Citric Acid, Sorbitan Oleate, Iron Oxides (CI 77491, CI 77492).
* Certified Organic",https://www.ulta.com/p/self-reflect-rose-probiotic-moisturizing-sunscreen-zinc-oxide-spf-32-pimprod2030507?sku=2589470,0,4.1
First Aid Beauty,Weightless Liquid Mineral Sunscreen With Zinc Oxide SPF 30,"Home
Body Care
Suncare
Sunscreen","Active: Zinc Oxide 22%.
Inactive: Ethylhexyl Olivate, Isododecane, Coconut Alkanes, Water, Aluminum Starch Octenylsuccinate, Caprylic/Capric Triglyceride, Butylene Glycol, Mica, Polyglyceryl-6 Polyricinoleate, Jojoba Esters, Cellulose, Stearalkonium Hectorite, Sodium Chloride, Squalane, Polyglyceryl-3 Diisostearate, Polyglyceryl-3 Polyricinoleate, Iron Oxides, Phenoxyethanol, Tocopheryl Acetate, Coco-Caprylate/Caprate, Trihydroxystearin, Caprylyl Glycol, Polyhydroxystearic Acid, Glycerin, Trisodium Ethylenediamine Disuccinate, Propanediol, Sorbic Acid, Titanium Dioxide, Silica, Glycyrrhiza Glabra (Licorice) Root Extract, Camellia Sinensis Leaf Extract, Alumina, Tocopherol, Chrysanthemum Parthenium (Feverfew) Extract.",https://www.ulta.com/p/weightless-liquid-mineral-sunscreen-with-zinc-oxide-spf-30-pimprod2039377?sku=2608375,0,4.5
Neutrogena,Ultra Sheer SPF 50 Zinc Mineral Sunscreen Stick,"Home
Body Care
Suncare
Sunscreen","Active: Zinc Oxide (21.6%).
Inactive: Octyldodecyl Neopentanoate, C12-15 Alkyl Benzoate, Synthetic Wax, Paraffin, Silica, Neopentyl Glycol Diethylhexanoate, Ozokerite, Isopropyl Myristate, Adipic Acid/Diglycol Crosspolymer, Triethoxycaprylylsilane, Neopentyl Glycol Diisostearate, Caprylyl Glycol, Tocopheryl Acetate.",https://www.ulta.com/p/ultra-sheer-spf-50-zinc-mineral-sunscreen-stick-pimprod2032287?sku=2595047&amp;sku=2595047,0,4.6
ROSEN,Clearing Concentrate,"Home
Skin Care
Treatment & Serums
Acne & Blemish Treatments","Water, Zinc Oxide, Grapeseed (Vitis Vinifera) Oil, Niacinamide, Tea Tree (Melaleuca Alternifolia) Oil, Cetearyl Olivate (and) Sorbitan Olivate, Hydrogenated Ethylhexyl Olivate (and) Hydrogenated Olive Oil Unsaponifiables, Leuconostoc Ferment Filtrate, Xanthan Gum.",https://www.ulta.com/p/clearing-concentrate-pimprod2037446?sku=2605666,0,5
ROSEN,Earth Cleanser,"Home
Skin Care
Cleansers
Face Wash","Water (Aqua), Sweet Almond (Prunus Amygdalus Dulcis) Oil, Zinc Oxide, Decyl Glucoside Sodium Lauroyl Lactylate, Niacinamide (Vitamin B3), Fuller's Earth (Multani Mitti) Clay, Cetearyl Olivate (and) Sorbitan Olivate, Spirulina Powder (Spirulina Platensis extract), Arborcide (Leuconostoc Ferment Filtrate), Eucalyptus Oil (Eucalyptus Globulus Leaf Oil), Peppermint Oil (Mentha Piperita Oil), Xanthan Gum.",https://www.ulta.com/p/earth-cleanser-pimprod2037451?sku=2605670,0,5
INDIE LEE,Banish Solution,"Home
Skin Care
Treatment & Serums
Acne & Blemish Treatments","Water (Aqua), Isopropyl Alcohol, Alcohol Denat. Zinc Oxide, Colloidal Sulfur, Kaolin, Magnesium Aluminum Silicate, Salicylic Acid, Camphor, Iron Oxide.",https://www.ulta.com/p/banish-solution-pimprod2016808?sku=2565032,0,4.6
Earth Harbor,Eclipse Sheer Mineral Sunsreen SPF 30,"Home
Body Care
Suncare
Sunscreen","Active: Non-Nano Zinc Oxide (18.9%).
Inactive: Water (Aqua), Caprylic/Capric Triglyceride (Plant-Based Conditioner), Coconut Alkanes (Coconut-Derived Dmollient), Cetearyl Alcohol (Plant-Derived Fatty Alcohol), Vegetable Glycerin, Aloe Leaf (Aloe Barbadensis) Juice, Coco-Glucoside (Plant-Derived Thickener), Cetearyl Glucoside (Plant-Derived Emulsifier), Caprylyl/Capryl Glucoside (Plant-Based Conditioner), Dipotassium Glycyrrhizate (Licorice Root-Derived Moisturizer), Green Tea (Camellia Sinensis) Leaf Extract, Algae (Laminaria Saccharina) Extract, Shea (Butyrospermum Parkii) Butter, Hydrolyzed Jojoba Esters, Coco-Caprylate/Caprate (Plant-Derived Emulsifier), Polyhydroxystearic Acid (Fatty Acid), Polyglyceryl-3 Polyricinoleate (Natural Emulsifier), Isostearic Acid (Plant-Derived Emollient), Sodium Phytate (Natural Stabilizer), Lecithin (Plant-Derived Softener), Tocopherol (Vitamin E), Xanthan Gum (Plant-Based Stabilizer), Sclerotium Gum (Plant-Derived Stabilizer), Glyceryl Caprylate (Plant-Derived Emulsifier), Capryhydroxamic Acid (Plant-Derived Preservative).
Due to the nature of plant-based products, color may vary slightly.",https://www.ulta.com/p/eclipse-sheer-mineral-sunsreen-spf-30-pimprod2037346?sku=2606106,0,4.8
Babo Botanicals,Sensitive Baby Fragrance Free Zinc Diaper Cream For Sensitive Eczema Prone Skin,"Home
Body Care
Mother & Baby","Helianthus Annuus Sunflower Oil, Zinc Oxide, Hydrogenated Vegetable Oil, Coconut Cocos Nucifera Oil*, Butyrospermum Parkii Shea Butter*, Euphorbia Cerifera Candelilla Wax, Rosmarinus Of Cinalis Rosemary) Extract*, Lecithin, Theobroma Cacao Cocoa Seed Butter*Nutri-Soothe Complex Calendula Officinalis Flower Extract*, Vegetable Glycerin, Chamomile Anthemis Nobilis Flower Extract*, Watercress Nasturtium Officinale Leaf Extract*, Calendula Calendula Officinalis Flower Extract*, Kudzu Pueraria LobataRoot Extract*; Meadowsweet (Spiraea Ulmaria) Extract*.*Certified Organic Ingredients.",https://www.ulta.com/p/sensitive-baby-fragrance-free-zinc-diaper-cream-sensitive-eczema-prone-skin-xlsImpprod18391089?sku=2531778,0,4.8
Supergoop!,Mini Mineral Sheerscreen SPF 30,"Home
Makeup
Travel Size","Active: Zinc Oxide 17.5%.
Inactive: Water, Isododecane, Caprylic/Capric Triglyceride, Butyloctyl Salicylate, Propanediol, Glycerin, Squalane, Trioctyldodecyl Citrate, Polyglycerin-3, Polyclyceryl-3 Lactate/Laurate, Polysilicone-11, Cetearyl Alcohol, Glyceryl Stearate, Sodium Stearoyl Glutamate, Butylene Glycol, Xanthan Gum, Polyacrylate Crosspolymer-6, Isostearic Acid, Lecithin, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Caprylhydroxamic Acid, Citric Acid, Aloe Barbadensis Leaf Juice, Lespedeza Capitata Leaf/Stem Extract, Maltodextrin, Sodium Hyaluronate.",https://www.ulta.com/p/mini-mineral-sheerscreen-spf-30-pimprod2029937?sku=2589380,0,3.8
