company,product name ,category,ingredients,link,total number of reviews,product rate 
Mad Hippie,Luminizing Facial SPF 29,"Home
Body Care
Suncare
Sunscreen","Active: Zinc-Oxide 16.5 %.
<
Inactive: Aloe Barbadensis Leaf Juice, Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Bisabolol, Butyloctyl Salicylate, Camellia Sinensis Leaf Extract, Caprylhydroxamic Acid, Caprylic/Capric Triglyceride, Capryloyl Glycerin/Sebacic Acid Copolymer, Caprylyl Glycol, Cellulose Gum, Cetearyl Alcohol, Citric Acid, Coco-Glucoside, Cocos Nucifera (Coconut) Oil, Cucumis Sativus (Cucumber) Fruit Extract, Ethyl Ferulate, Glycerin, Iron Oxides, Lecithin, Methyl Dihydroabietate, Mica, Microcrystalline Cellulose, Niacinamide, Octyldodecyl Neopentanoate, Octyldodecyl Oleate, Polyhydroxystearic Acid, Propanediol, Quercetin, Resveratrol, Rubus Idaeus (Raspberry) Seed Oil, Sodium Gluconate, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Squalane, Titanium Dioxide, Tocopherol, Water, Xanthan Gum.",https://www.ulta.com/p/luminizing-facial-spf-29-pimprod2030862?sku=2592480,0,4.4
Pacifica,Kind Tint SPF 30 Tinted Serum - Broad Spectrum Mineral Sunscreen,"Home
Skin Care
Treatment & Serums
Face Serums","Active: Zinc Oxide 20.8%. Inactive: Aqua (Eau), Allantoin, Bisabolol, Butyloctyl Salicylate, Caprylhydroxamic Acid, Caprylic/Capric Triglyceride, Chamomilla Recutita (Matricaria) Flower Extract, Citric Acid, Citrus Aurantium Amara Flower Oil, Sr-Hydrozoan Polypeptide-1 (Vegan Collagen), Glycerin, Glyceryl Caprylate, Glyceryl Stearate, Iron Oxides (CI 77491, CI 77492, CI 77499), Jasminum Officinale (Jasmine) Extract, Jojoba Esters, Parfum (Natural), Polyglyceryl-6 Distearate, Polyglyceryl-6 Polyricinoleate, Polyhydroxystearic Acid, Saccharomyces/Xylinum/Black Tea Ferment, Silica, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Sorbitan Sesquioleate, Tocopherol (Vitamin E), Tocopheryl Acetate, Vanilla Planifolia Fruit Extract, Xanthan Gum.",https://www.ulta.com/p/kind-tint-spf-30-tinted-serum-broad-spectrum-mineral-sunscreen-pimprod2037577?sku=2604656,0,3.1
Burt's Bees,BB Cream with SPF 15,"Home
Makeup
Face
BB & CC Creams","Water, Zinc Oxide, Glycerin, Titanium Dioxide, Decyl Oleate, Isoamyl Cocoate, Isoamyl Laurate, Octyldodecanol, Polyglyceryl-4 Caprate, Caprylic/Capric Triglyceride, Cetyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil, Polyglyceryl-2 Dipolyhydroxystearate, Glyceryl Stearate Citrate, Stearic Acid, Morinda Citrifolia Fruit Extract, Beeswax, Jojoba Esters, Mica, Iron Oxides, Silica, Sorbitan Stearate, Stearyl Alcohol, Behenyl Alcohol, Sodium Carboxymethyl C10-16 Alkyl Glucoside, Lauryl Glucoside, Magnesium Aluminum Silicate, Xanthan Gum, Citric Acid, Isostearic Acid, Lecithin, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Sodium Phytate, Trihydroxystearin, Alumina, Sorbic Acid, Alcohol, Potassium Sorbate, Sodium Benzoate, Fragrance (Natural Fragrance), Phenoxyethanol, Citral, Limonene, Linalool.",https://www.ulta.com/p/bb-cream-with-spf-15-xlsImpprod14271013?sku=2306154,0,3.9
Lancôme,Color Design Sensational Effects Eyeshadow,"Home
Makeup
Eyes
Eyeshadow","Talc, Magnesium Stearate, Triisostearin, Phenyl Trimethicone, Synthetic Fluorphlogopite, Nylon-12, Calcium Aluminum Borosilicate, Calcium Sodium Borosilicate, Dimethicone, Silica, Trimethylsiloxysilicate, Alumina, Synthetic Wax, Polyethylene Terephthalate, Cetyl Dimethicone, Isobutylparaben, Methylparaben, Phenoxyethanol, Propylparaben, Ethylparaben, Butylparaben. May Contain: CI 19140/Yellow 5 Lake, CI 42090/Blue 1 Lake, CI 75470/Carmine, CI 77000/Aluminum Powder, CI 77007/Ultramarines, CI 77163/Bismuth Oxychloride, CI 77288/Chromium Oxide Greens, CI 77289/Chromium Hydroxide Green, CI 77510/Ferric Ammonium Ferrocyanide, CI 77510/Ferric Ferrocyanide, CI 77742/Manganese Violet, CI 77891/Titanium Dioxide, CI 77947/Zinc Oxide, Mica.",https://www.ulta.com/p/color-design-sensational-effects-eyeshadow-xlsImpprod3650120?sku=2302632,0,4.7
Carbon Theory.,Vitamin E & Tea Tree Oil Breakout Control Facial Moisturiser,"Home
Skin Care
Moisturizers
Face Moisturizer","Aqua (Water), Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil, Polysorbate 60, Glycerin, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Olea Europaea (Olive) Fruit Oil, Prunus Armeniaca (Apricot) Kernel Oil, Phenoxyethanol, CI 77947 (Zinc Oxide), Allantoin, Glyceryl Caprylate, Xanthan Gum, Stearic Acid, Citric Acid, Citrullus Lanatus (Watermelon) Seed Oil, Ethylhexylglycerin, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Tocopherol, Fragaria Vesca (Strawberry) Fruit Extract, Sodium Hyaluronate, Hippophae Rhamnoides Fruit Oil, Punica Granatum (Pomegranate) Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Potassium Sorbate, Sodium Benzoate, Citrus Limon (Lemon) Peel Oil, Limonene.",https://www.ulta.com/p/vitamin-e-tea-tree-oil-breakout-control-facial-moisturiser-pimprod2012000?sku=2559591,0,4.7
megababe,Thigh Rescue Mini Anti-Friction Stick,"Home
Skin Care
Treatment & Serums
Body Treatments","Caprylic/Capric Triglyceride, Stearyl Alcohol, Isopropyl Palmitate, Cetyl Esters, Ozokerite, Tribehenin, Dimethicone/Vinyl Dimethicone Crosspolymer, Silica, Zinc Oxide, Zingiber Officinale (Ginger) Root Extract, Aloe Barbadensis Leaf Extract, Punica Granatum (Pomegranate) Seed Extract, Vitis Vinifera (Grape) Seed Oil, Chamomilla Recutita (Chamomile) Flower Extract, Alcohol, Allyl Caproate, Anisaldehyde, Benzyl Acetate, Citral, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Citrus Medica Limonum (Lemon) Peel Oil, Cymbopogon Martinii Oil, Hexenyl Acetate, Hexyl Acetate, Juniperus Mexicana Oil, Phenethyl Alcohol, Tagetes Minuta Flower Oil, D-Alpha-Tocopheryl Acetate (Vitamin E).",https://www.ulta.com/p/thigh-rescue-mini-anti-friction-stick-pimprod2023402?sku=2577316,0,4.6
BeautyStat Cosmetics,Microbiome Purifying Clay Mask,"Home
Skin Care
Treatment & Serums
Face Masks","Water/Aqua, Kaolin, Glycerin, Dimethicone, Montmorillonite, Magnesium Aluminum Silicate, Decyl Glucoside, Stearyl Stearate, Zinc Oxide (Ci 77947), Mica, Hydrated Silica, Polysilicone-11, Butyrospermum Parkii (Shea) Butter, Punica granatum (Pomegranate) Sterols, Linoleic Acid, Squalane, Charcoal Powder, Honey (White) Extract, Silver, Polyglutamic Acid, Zingiber officinale (Ginger) Root Extract, Mentha piperita (Peppermint) Leaf Extract, Leuconostoc/Radish Root Ferment Filtrate, Amaranthus Caudatus Seed Oil, Hordeum vulgare Extract, Triticum Vulgare (Wheat) Germ Oil, Jojoba Esters, Titanium Dioxide (Ci 77891), Xanthan Gum, Propanediol, Menthol, Euphorbia Cerifera (Candelilla) Wax, Glycyrrhetinic Acid, Triethoxycaprylylsilane, Caprylyl Glycol, 1,2- Hexanediol, Hydroxyacetophenone.",https://www.ulta.com/p/microbiome-purifying-clay-mask-pimprod2036831?sku=2607949,0,4.9
CeraVe,Skin Renewing Day Cream SPF 30,"Home
Skin Care
Moisturizers
Face Moisturizer","Active: Octinoxate 7.5 %, Zinc Oxide 10.5 %. Inactive: Water, Cyclomethicone, Pentylene Glycol, Phenyl Trimethicone, Cetearyl Alcohol, PED-40 Stearate, Dimethicone, Glycerin, Stearyl Alcohol, Phenoxyethanol, Hydraxyethyl Acrylate, Sodium Acryloyldimethyl Taurate Copolymer, Ceramide 3, Ceramide 6-11, Ceramide 1, Potassium Cetyl Phosphate, Squalane, Phytosphingosine, Cholesterol, Lecithin, Hydrogenated Palm Glycerides, Behentrimonium Methosulface, Polysorbate 60, Hyaluronic Acid, Retinol, Disodium EDTA, Xanthan Gum, Iris Florentina Root Extract, Ceteareth-20, Polysilicone-11, Polysorbate 20, Chlorphenesin, Sodium Lauroyl Lactylate, Tetra-Hexyldecyl Ascorbate, Alcohol, Butylene Glycol, Ethylhexylglycerin, Dimethicone Crosspolymer-3, Sodium Polyacrylate, Sodium Hydroxide, Carbomer, Citric Acid.",https://www.ulta.com/p/skin-renewing-day-cream-spf-30-xlsImpprod15321257?sku=2502813,0,4.1
megababe,Thigh Rescue,"Home
Body Care
Body Moisturizers
Body Lotion & Creams","Caprylic/Capric Triglyceride, Stearyl Alcohol, Isopropyl Palmitate, Cetyl Esters, Ozokerite, Tribehenin, Dimethicone/Vinyl Dimethicone Crosspolymer, Silica, Zinc Oxide, Zingiber Officinale (Ginger) Root Extract, Aloe Barbadensis Leaf Extract, Punica Grenatum (Pomegranate) Seed Extract, Vitis Vinifera (Grape) Seed Oil, Chamomilla Recutita (Chamomile) Flower Extract, Alcohol, Allyl Caproate, Anisaldehyde, Benzyl Acetate, Citral, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Citrus Medica Limonum (Lemon) Peel Oil, Cymbopogon Martinii Oil, Hexenyl Acetate, Hexyl Acetate, Juniperus Mexicana Oil, Phenethyl Alcohol, Tagetes Minuta Flower Oil, D-Alpha-Tocopheryl Acetate (Vitamin E).",https://www.ulta.com/p/thigh-rescue-xlsImpprod18141007?sku=2528992,0,4.9
Erborian,CC Red Correct,"Home
Makeup
Face
BB & CC Creams","Active Ingredients: Ethyhexyl Methoxycinnamate, Ethylhexyl Salicylate, Titanium Dioxide, and Zinc Oxide. Inactive: Aqua/Water, Cyclomethicone, Dipropylene Glycol, Glycerin, PEG-10 Dimethicone, Methyl Trimethicone , CI 77891/Titanium Dioxide, C12-15 Alkyl Benzoate, Dimethicone, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Disteardimonium Hectorite, Magnesium Sulfate, Butylene Glycol, Centella Asiatica Extract, Talc, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Trihydroxystearin, Phenoxyethanol, Mica, Methicone, Palmitic Acid, Stearic Acid, Ethylhexylglycerin, Tocopheryl Acetate, Polyester-1, Silica Dimethyl Silylate, Triethoxycaprylylsilane, Parfum/Fragrance, Hexyl Cinnamal, Alpha-isomethyl Ionone, Linalool, Citronellol, Geraniol, Eugenol, Limonene, CI 77492/Iron Oxides, CI 77288/Chromium Oxide Greens, CI 77491/Iron Oxides, CI 77499/Iron Oxides.",https://www.ulta.com/p/cc-red-correct-pimprod2005691?sku=2548341,0,4.7
Juice Beauty,"Prebiotix SPF 45 Glow, Daily Multi-Tasking Moisturizer","Home
Skin Care
Moisturizers
Face Moisturizer","Active Ingredient: Zinc Oxide 22%.
Inactive Ingredients: Aloe Barbadensis Leaf Juice*, Butyloctyl Salicylate, Caprylic/Capric Triglyceride**, Polyester-8, Glycerin*, Cetearyl Alcohol**, Glyceryl Stearate**, Glycolipids**, Squalane**, Sorbitan Sesquioleate**, Isoamyl Laurate**, Vitis Vinifera (Grape) Seed Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Hyaluronic Acid, Coco-Glucoside**, Hydrolyzed Jojoba Esters**, Tocopherol (Vitamin E)**, Bisabolol**, Ectoin**, Hydrolyzed Viola Tricolor Extract**, Phyllanthus Emblica Fruit Extract**, Inulin**, Glyceryl Caprylate**, Mica, Iron Oxides, Caprylhydroxamic Acid**, Polyhydroxystearic Acid, Lysolecithin**, Sclerotium Gum**, Xanthan Gum**, Pullulan**, Sodium Stearoyl Glutamate, Sodium Riboflavin Phosphate, Leuconostoc/Radish Rootferment Filtrate**, Maltodextrin**, Titanium Dioxide, Silica, Citric Acid.
* Certified Organic Ingredients.
**Plant Derived.",https://www.ulta.com/p/prebiotix-spf-45-glow-daily-multi-tasking-moisturizer-pimprod2037710?sku=2606644,0,4.2
Burt's Bees,Sensitive Daily Moisturizer Cream,"Home
Skin Care
Moisturizers
Face Moisturizer","Water, Helianthus Annuus (Sunflower) Seed Oil, Glycerin, Cetyl Alcohol, CI 77947 (Zinc Oxide), Zea Mays (Corn) Starch, Gossypium Herbaceum (Cotton) Flower Extract, Oryza Sativa (Rice) Extract, Beta Vulgaris (Beet, Extrait De Racine De Betterave) Root Extract, Artemisia Umbelliformis Extract, Euphrasia Officinalis Extract, Butyrospermum Parkii (Shea) Butter, Saccharum Officinarum (Sugar Cane, Extrait De Canne À Sucre) Extract, Aloe Barbadensis Leaf Juice, Jojoba Esters, Hydrolyzed Jojoba Esters, Kaolin, Lecithin, Sucrose, Fructose, Glucose, Inositol, Citric Acid, Benzoic Acid, Trehalose, Xanthan Gum, Glyceryl Laurate, Potassium Sorbate, Sucrose Stearate, Sucrose Polystearate, Sodium Benzoate, Sodium Stearoyl Lactylate, Sodium PCA, Alcohol Denat., Phenoxyethanol.",https://www.ulta.com/p/sensitive-daily-moisturizer-cream-pimprod2025460?sku=2582749,0,4.2
